全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
332071,0000000001,岡山県井原市,井原市役所,,,332071,,岡山県井原市井原町311-1,岡山県,井原市,井原町,311-1,,34.597660,133.463658,,,市役所1階市民サロン,,,,,,,,,月火水木金土日,00:00,24:00,,,,,,,,,
332071,0000000002,岡山県井原市,井原市民会館,,,332071,,岡山県井原市井原町311-1,岡山県,井原市,井原町,311-1,,34.598137,133.464600,,,会館内事務所,,,,,,,,,月火木金土日,08:30,17:15,年末年始12月28日から1月4日まで休業。行事によっては22時まで使用可,,,,,,,,
332071,0000000003,岡山県井原市,井原保健センター,,,332071,,岡山県井原市上出部町658-2,岡山県,井原市,上出部町,658-2,,34.592361,133.466705,,,1階エレベーター手前,,,,,,,,,月火水木金,08:30,17:15,年末年始12月29日から1月3日まで休業,,,,,,,,
332071,0000000004,岡山県井原市,いばらサンサン交流館,,,332071,,岡山県井原市井原町3616,岡山県,井原市,井原町,3616,,34.607287,133.461603,,,1階事務所内,,,,,,,,,火水木金土日,09:00,21:00,日曜日のみ開館時間 09:00〜17:00、年末年始12月28日から1月4日まで休業,,,,,,,,
332071,0000000005,岡山県井原市,生涯学習施設「アクティブライフ井原」,,,332071,,岡山県井原市七日市町12-1,岡山県,井原市,七日市町,12-1,,34.595725,133.468067,,,1階事務所内,,,,,,,,,火水木金土日,09:00,21:00,毎週日曜日は17時閉館、年末年始12月28日から1月4日まで休館、火曜日から金曜日にあたる祝日は休館、その他数日臨時休館あり,,,,,,,,
332071,0000000006,岡山県井原市,井原体育館,,,332071,,岡山県井原市上出部町1671-1,岡山県,井原市,上出部町,1671-1,,34.588464,133.462689,,,事務室,,,,,,,,,火水木金土日,08:30,21:00,年末年始12月28日から1月3日まで休業,,,,,,,,
332071,0000000007,岡山県井原市,B&G井原海洋センター,,,332071,,岡山県井原市上出部町1583-1,岡山県,井原市,上出部町,1583-1,,34.589645,133.463454,,,海洋センター事務室,,,,,,,,,火水木金土日,09:30,21:00,祝日の翌日、年末年始の12月28日から1月4日まで休業,,,,,,,,
332071,0000000008,岡山県井原市,西江原幼児園,,,332071,,岡山県井原市西江原町1414,岡山県,井原市,西江原町,1414,,34.600393,133.486184,,,職員室複写機横の棚,,,,,,,,,月火水木金土,07:30,18:30,年末年始12月29日から1月3日まで休業,,,,,,,,
332071,0000000009,岡山県井原市,高屋小学校,,,332071,,岡山県井原市高屋町1998,岡山県,井原市,高屋町,1998,,34.587769,133.428587,,,職員室,,,,,,,,,月火水木金土日,00:00,24:00,,,,,,,,,
332071,0000000010,岡山県井原市,大江小学校,,,332071,,岡山県井原市大江町2886,岡山県,井原市,大江町,2886,,34.570834,133.441896,,,南校舎1階保健室,,,,,,,,,月火水木金,08:15,16:45,,,,,,,,,
332071,0000000011,岡山県井原市,稲倉小学校,,,332071,,岡山県井原市下稲木町888,岡山県,井原市,下稲木町,888,,34.568811,133.464311,,,職員室窓際の棚の上,,,,,,,,,月火水木金,08:15,16:45,,,,,,,,,
332071,0000000012,岡山県井原市,県主小学校,,,332071,,岡山県井原市門田町649-1,岡山県,井原市,門田町,649-1,,34.570689,133.486663,,,職員室の扉横の棚の上,,,,,,,,,月火水木金,08:15,16:45,年末年始休業日、夏季休業中の閉庁日を除く日,,,,,,,,外部の使用を条件付で認める。条件: 学校が開いている時間に限ります。職員に声をかけてください。
332071,0000000013,岡山県井原市,木之子小学校,,,332071,,岡山県井原市木之子町2946,岡山県,井原市,木之子町,2946,,34.590828,133.500348,,,職員室内,,,,,,,,,月火水木金,08:15,16:45,原則として、年末年始12月28から1月3日まで、及び8月10日から8月16日まで休業。,,,,,,,,
332071,0000000014,岡山県井原市,荏原小学校,,,332071,,岡山県井原市東江原町2584,岡山県,井原市,東江原町,2584,,34.602328,133.512399,,,職員室内,,,,,,,,,月火水木金,08:15,16:45,学校が休業日の日は、施錠されている。,,,,,,,,
332071,0000000015,岡山県井原市,西江原小学校,,,332071,,岡山県井原市西江原町567-1,岡山県,井原市,西江原町,567-1,,34.600172,133.487075,,,本校舎1階　職員室入口,,,,,,,,,月火水木金,08:15,16:45,夏季閉庁日8月12日～8月15日まで閉庁　年末年始12月29日～1月3日まで閉庁,,,,,,,,
332071,0000000016,岡山県井原市,野上小学校,,,332071,,岡山県井原市野上町3201,岡山県,井原市,野上町,3201,,34.641865,133.500049,,,下校舎2階保健室,,,,,,,,,月火水木金,08:15,16:45,夏季8月10日から8月16日、年末年始12月28日から1月3日まで休業。学校行事等で振替休業日を設定することがある,,,,,,,,
332071,0000000017,岡山県井原市,青野小学校,,,332071,,岡山県井原市青野町2507-1,岡山県,井原市,青野町,2507-1,,34.626306,133.470601,,,本館1階　放送室,,,,,,,,,月火水木金,08:15,16:45,夏期8月10日から16日まで休業、年末年始12月28日から1月3日まで休業,,,,,,,,
332071,0000000018,岡山県井原市,井原小学校,,,332071,,岡山県井原市井原町1113-1,岡山県,井原市,井原町,1113-1,,34.603566,133.461880,,,職員室入り口,,,,,,,,,月火水木金,08:15,16:45,夏季休業日8月9日から8月17日、年末年始12月30日から1月4日,,,,,,,,
332071,0000000019,岡山県井原市,出部小学校,,,332071,,岡山県井原市上出部町235-1,岡山県,井原市,上出部町,235-1,,34.593239,133.458846,,,職員室西入口,,,,,,,,,月火水木金土日,00:00,24:00,,,,,,,,,
332071,0000000020,岡山県井原市,高屋中学校,,,332071,,岡山県井原市高屋町2-9-1,岡山県,井原市,高屋町,2-9-1,,34.579218,133.430064,,,職員室,,,,,,,,,月火水木金,08:15,16:45,夏期・年末年始に学校閉庁日があります。,,,,,,,,外部の使用を条件付で認める。条件: 学校の授業日で教職員が対応可能な勤務時間内に限る。
332071,0000000021,岡山県井原市,木之子中学校,,,332071,,岡山県井原市木之子町2957-1,岡山県,井原市,木之子町,2957-1,,34.590227,133.500961,,,職員室内南側中央,,,,,,,,,月火水木金,08:15,16:45,年末年始12月28日～1月3日まで休業,,,,,,,,
332071,0000000022,岡山県井原市,井原中学校,,,332071,,岡山県井原市西江原町2000,岡山県,井原市,西江原町,2000,,34.603786,133.471008,,,,,,,,,,,,月火水木金,08:00,18:00,年末年始12月28日から1月3日まで休業。8月10日から8月16日まで閉庁日,,,,,,,,
