全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
272086,0000000001,大阪府貝塚市,貝塚市役所,カイヅカシヤクショ,,0027001,大阪府,貝塚市,畠中一丁目,17-1,,34.437687,135.358431,,,本館１階ロビー,072-423-2151,,,,,,,,月火水木金,08:45,17:15,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可（日曜開庁日等を除く）,有,,,,,,,
272086,0000000002,大阪府貝塚市,消防本部,ショウボウホンブ,,0029000,大阪府,貝塚市,鳥羽,122-1,,34.43581,135.366125,,,２階フロア,072-422-0119,,,,,,,,月火水木金土日,,,24時間利用可能,有,,,,,,,
272086,0000000003,大阪府貝塚市,市立保健センター,シリツホケンセンター,,0027001,大阪府,貝塚市,畠中一丁目,18-8,,34.436903,135.359428,,,１階健康推進課事務室,072-433-7000,,,,,,,,月火水木金,08:45,17:15,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可。,有,,,,,,,
272086,0000000005,大阪府貝塚市,総合体育館,ソウゴウタイイクカン,,0027001,大阪府,貝塚市,畠中一丁目,13-1,,34.437812,135.36,,,１階ロビー,072-433-7120,,,,,,,,月水木金土日,09:00,21:00,年末年始（12月29日～翌年1月3日）は終日利用不可。また火曜日が祝日の場合、その翌日は利用不可。,有,,,,,,,
272086,0000000006,大阪府貝塚市,貝塚市民文化会館（コスモスシアター）,カイヅカシミンブンカカイカン（コスモスシアター）,,0027001,大阪府,貝塚市,畠中一丁目,18-1,,34.436534,135.358467,,,１階事務室,072-436-5031,,,,,,,,月火木金土日,09:00,22:00,第2木曜日は利用不可。水曜日及び第2木曜日が祝日の場合、その翌日を休館日とする。毎年12月28日～1月4日は終日利用不可。保守点検日利用不可。,有,,,,,,,
272086,0000000007,大阪府貝塚市,浜手地区公民館,ハマテチクコウミンカン,,0016002,大阪府,貝塚市,二色二丁目,7-2,,34.446791,135.343601,,,１階事務室,072-431-0926,,,,,,,,月火木金土日,09:00,22:00,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可。水曜日が祝日の時は翌開館日も利用不可。日曜日が祝日の時は開館。日曜日は17時で終了。,有,,,,,,,
272086,0000000008,大阪府貝塚市,山手地区公民館,ヤマテチクコウミンカン,,0008007,大阪府,貝塚市,東山七丁目,10-1,,34.407533,135.387698,,,１階事務室,072-446-0090,,,,,,,,月火木金土日,09:00,22:00,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可。水曜日が祝日の時は翌開館日も利用不可。日曜日が祝日の時は開館。日曜日は17時で終了。,有,,,,,,,
272086,0000000009,大阪府貝塚市,ひと・ふれあいセンター,ヒト・フレアイセンター,,0006000,大阪府,貝塚市,海塚,22-1,,34.443647,135.362478,,,１階事務室,072-422-7523,,,,,,,,月火水木金土,09:00,21:00,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可。,有,,,,,,,
272086,0000000010,大阪府貝塚市,善兵衛ランド,ゼンベエランド,,0049000,大阪府,貝塚市,三ツ松,216,,34.406233,135.388323,,,事務所,072-447-2020,,,,,,,,月火木金土日,09:00,17:00,木金土は、開館時間を21：45まで延長。年末年始（12月29日～翌年1月3日）、水曜日は終日利用不可。,有,,,,,,,
272086,0000000012,大阪府貝塚市,公園墓地テニスコート,コウエンボチテニスコート,,0047000,大阪府,貝塚市,三ケ山,247,,34.405994,135.401191,,,公園墓地管理事務,072-447-2296,,,,,,,,月火水金土日,09:00,17:00,なし,有,,,,,,,
272086,0000000013,大阪府貝塚市,青少年運動広場,セイショウネンウンドウヒロバ,,0008001,大阪府,貝塚市,東山一丁目,4-1,,34.416354,135.385704,,,事務所,072-446-0017,,,,,,,,月火水木金土日,08:00,17:00,なし,有,,,,,,,
272086,0000000014,大阪府貝塚市,ふれあい運動広場,フレアイウンドウヒロバ,,0043000,大阪府,貝塚市,二色南町,4-1,,34.453737,135.339382,,,事務所,072-433-4560,,,,,,,,月火水木金土日,08:00,21:00,年末年始（12月29日～翌年1月3日）は17時以降利用不可。,有,,,,,,,
272086,0000000015,大阪府貝塚市,すくすく子ども館,スクスクコドモカン,,0044000,大阪府,貝塚市,名越,108,,34.420045,135.383184,,,１階事務室,072-468-8224,,,,,,,,月火水木金,08:45,17:15,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可（日曜開庁日等を除く）,有,,,,,,,
272086,0000000016,大阪府貝塚市,木島認定こども園,キシマニンテイコドモエン,,0049000,大阪府,貝塚市,三ツ松,2920,,34.41244,135.379596,,,事務所,072-446-4139,,,,,,,,月火水木金土,07:00,19:00,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可。,有,,,,,,,
272086,0000000017,大阪府貝塚市,津田認定こども園,ツダニンテイコドモエン,,0023000,大阪府,貝塚市,津田南町,10-1,,34.452693,135.36118,,,事務所,072-422-1786,,,,,,,,月火水木金土,07:00,19:00,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可。,有,,,,,,,
272086,0000000018,大阪府貝塚市,葛城認定こども園,カツラギニンテイコドモエン,,0052000,大阪府,貝塚市,木積,606,,34.396006,135.390714,,,事務所,072-446-0227,,,,,,,,月火水木金土,07:00,19:00,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可。,有,,,,,,,
272086,0000000019,大阪府貝塚市,三ツ松認定こども園,ミツマツニンテイコドモエン,,0049000,大阪府,貝塚市,三ツ松,2206-2,,34.406815,135.377217,,,事務所,072-446-7158,,,,,,,,月火水木金土,07:00,19:00,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可。,有,,,,,,,
272086,0000000021,大阪府貝塚市,西幼稚園,ニシヨウチエン,,0020002,大阪府,貝塚市,脇浜二丁目,18-1,,34.441161,135.347751,,,職員室,072-431-0525,,,,,,,,,,,,有,,,,,,,
272086,0000000022,大阪府貝塚市,南幼稚園,ミナミヨウチエン,,0033000,大阪府,貝塚市,地蔵堂,286,,34.427563,135.355843,,,職員室,072-422-3962,,,,,,,,,,,,有,,,,,,,
272086,0000000023,大阪府貝塚市,北幼稚園,キタヨウチエン,,0060000,大阪府,貝塚市,中,1529-1,,34.447991,135.35895,,,職員室,072-422-0449,,,,,,,,,,,,有,,,,,,,
272086,0000000025,大阪府貝塚市,中央幼稚園,チュウオウヨウチエン,,0041000,大阪府,貝塚市,麻生中,854,,34.432068,135.37158,,,職員室,072-427-0394,,,,,,,,,,,,有,,,,,,,
272086,0000000026,大阪府貝塚市,東小学校,ヒガシショウガッコウ,,0030001,大阪府,貝塚市,小瀬一丁目,25-5,,34.445919,135.367808,,,体育館,072-422-0262,,,,,,,,,,,,有,,,,,,,
272086,0000000027,大阪府貝塚市,西小学校,ニシショウガッコウ,,0020004,大阪府,貝塚市,脇浜四丁目,6-1,,34.440156,135.347604,,,体育館,072-422-0317,,,,,,,,,,,,有,,,,,,,
272086,0000000028,大阪府貝塚市,南小学校,ミナミショウガッコウ,,0033000,大阪府,貝塚市,地蔵堂,286,,34.427563,135.355843,,,体育館,072-422-0367,,,,,,,,,,,,有,,,,,,,
272086,0000000029,大阪府貝塚市,北小学校,キタショウガッコウ,,0021000,大阪府,貝塚市,北町,20-441,,34.450635,135.357706,,,体育館,072-422-0173,,,,,,,,,,,,有,,,,,,,
