NO,区分,区・集落,施設名,設置場所,住所,電話番号,緯度,経度,備考
1,公共施設,香住区,香美町役場　本庁,１階　健康課カウンター,香美町香住区香住870-1,0796-36-1111,35.632103,134.629122,
2,公共施設,香住区,公立香住病院,救急外来（１階）１台、２階病棟（２階）２台,香美町香住区若松540,0796-36-1166,35.643406,134.633667,
3,公共施設,香住区,佐津診療所,玄関ホール,香美町香住区無南垣165,0796-38-0459,35.65260642,134.6848621,
4,公共施設,香住区,香住地域福祉センター,１階　ロビー奥,香美町香住区森31-1,0796-36-4345,35.62602269,134.6272593,
5,公共施設,香住区,香住Ｂ＆Ｇ海洋センター,玄関を入り左側の事務室内,香美町香住区境1125,0796-36-2467,35.64836166,134.6412545,
6,公共施設,香住区,香住区中央公民館,玄関を入り左側の事務室内,香美町香住区香住114-1,0796-36-3764,35.639097,134.629732,
7,公共施設,香住区,香住地区公民館,玄関を入り正面すぐ,香美町香住区香住1646-1,0796-36-3435,35.63740874,134.627361,
8,公共施設,香住区,奥佐津地区公民館,１階　ロビー正面,香美町香住区下岡507,0796-38-0832,35.62601878,134.6787571,
9,公共施設,香住区,佐津地区公民館,１階　玄関正面,香美町香住区訓谷199,0796-38-0845,35.65409662,134.6924443,
10,公共施設,香住区,柴山地区公民館,１階　ロビー,香美町香住区上計1157-3,0796-37-0821,35.65083423,134.6582625,
11,公共施設,香住区,余部地区公民館,玄関付近通路,香美町香住区余部1568-3,0796-36-3004,35.64776644,134.5607535,
12,公共施設,香住区,長井地区公民館,１階　ロビー,香美町香住区大野87,0796-36-3435,35.6056485,134.6210017,
13,公共施設,香住区,香住小学校,玄関を入り左側の職員室前廊下,香美町香住区香住1595-9,0796-36-0002,35.63809137,134.626335,
14,公共施設,香住区,奥佐津小学校,児童昇降口,香美町香住区上岡180,0796-38-0220,35.62189255,134.6774981,
15,公共施設,香住区,佐津小学校,玄関を入り左側の職員室内,香美町香住区訓谷340,0796-38-0014,35.65374742,134.6915874,
16,公共施設,香住区,柴山小学校,児童昇降口,香美町香住区上計34,0796-37-0351,35.648292,134.658046,
17,公共施設,香住区,長井小学校,玄関を入り右側の職員室内,香美町香住区大野83-1,0796-36-3005,35.60590971,134.6205248,
18,公共施設,香住区,余部小学校,玄関を入り右側の校長室内,香美町香住区余部1697,0796-34-0005,35.64787269,134.5601485,
19,公共施設,香住区,余部小学校御崎分校,玄関,香美町香住区余部2988,0796-34-0310,35.66297227,134.545101,
20,公共施設,香住区,香住幼稚園,玄関を入り右側奥の保健室,香美町香住区香住1595-9,0796-36-0416,35.63785948,134.6266715,
21,公共施設,香住区,柴山保育所,玄関,香美町香住区上計34,0796-37-0352,35.65028424,134.6595619,
22,公共施設,香住区,香住第一中学校,玄関を入り正面すぐ,香美町香住区香住919-2,0796-36-1086,35.63298334,134.6301316,
23,公共施設,香住区,香住第二中学校,玄関を入り左側の職員室前廊下,香美町香住区無南垣178,?0796-38-0023,35.65236991,134.68389,
24,公共施設,香住区,香住デイサービスセンター,グループホーム,香美町香住区無南垣97,0796-38-1515,35.62605961,134.6272335,
25,公共施設,村岡区,村岡地域局,２階　生涯学習課カウンター,香美町村岡区村岡390-1,0796-94-0321,35.47328525,134.5946909,
26,公共施設,村岡区,兎塚診療所,診察室前の廊下,香美町村岡区福岡1113,0796-96-0012,35.41803118,134.6002763,
27,公共施設,村岡区,兎塚歯科診療所,診療室内,香美町村岡区福岡1113,0796-96-0846,35.41803118,134.6002763,
28,公共施設,村岡区,川会診療所,玄関を入り右側の下駄箱,香美町村岡区入江717-3,0796-95-0024,35.50165224,134.5730446,
29,公共施設,村岡区,川会歯科診療所,診療室内,香美町村岡区入江717-3,0796-95-0223,35.50177557,134.5730606,
30,公共施設,村岡区,村岡区中央公民館,玄関を入り右側の事務室内,香美町村岡区村岡396,0796-98-1366,35.47372477,134.5951128,
31,公共施設,村岡区,兎塚地区公民館,１階　事務室横,香美町村岡区福岡275,0796-96-0001,35.41650012,134.600923,
32,公共施設,村岡区,射添地区公民館,１階　事務室,香美町村岡区入江711-2,0796-95-0800,35.50195554,134.5731085,
33,公共施設,村岡区,村岡小学校,玄関を入り正面の職員室内,香美町村岡区村岡2940,0796-94-0011,35.46776396,134.5990518,
34,公共施設,村岡区,兎塚小学校,玄関を入り右手ローカ、左側の職員室内,香美町村岡区福岡324,0796-96-0969,35.41561033,134.6002855,
35,公共施設,村岡区,射添小学校,玄関を入り右側の職員室入口,香美町村岡区川会38,0796-95-0004,35.49735144,134.570614,
36,公共施設,村岡区,村岡中学校,玄関を入り右側の職員室内,香美町村岡区村岡3077,0796-94-0041,35.46932789,134.5967442,
37,公共施設,村岡区,生活支援ハウス つつじの里,玄関を入り左側の棚,香美町村岡区村岡353,0796-98-1000,35.47213698,134.5938957,
38,公共施設,小代区,小代地域局,玄関を入り右側の事務室内,香美町小代区大谷564-1,0796-97-3111,35.45504415,134.5339417,
39,公共施設,小代区,小代診療所,診察室内,香美町小代区城山301,0796-97-2023,35.45665726,134.5360796,
40,公共施設,小代区,小代地域連携センター,玄関を入り左側の事務室内,香美町小代区実山100,0796-97-3966,35.44822866,134.5353887,
41,公共施設,小代区,小代小学校,職員玄関,香美町小代区実山100,0796-97-2004,35.44804074,134.5357502,
42,公共施設,小代区,小代中学校,玄関を入り左側の職員室前廊下,香美町小代区実山30,0796-97-2040,35.44944721,134.5358426,
43,公共施設,小代区,小代認定こども園,玄関を入り右側の職員室,香美町小代区実山68,0796-97-2039,35.44772444,134.5368424,
44,公共施設,小代区,小代高齢者生活支援センター,事務室カウンター,香美町小代区忠宮287,0796-97-2202,35.44788069,134.5333055,
45,その他,香住区若松,但馬漁業協同組合本所,談話室,香美町香住区若松747,0796-36-1331,35.64559358,134.6311808,
46,その他,香住区矢田,香住高校若潮寮,玄関,香美町香住区矢田19-5,0796-36-2921,35.63961126,134.6155559,
47,その他,香住区一日市,長福寺,客殿玄関,香美町香住区一日市165,0796-36-0454,35.64835031,134.632165,
48,その他,香住区香住,但馬信用金庫香住支店,ATMコーナー,香美町香住区香住1626-11,0796-36-1202,35.63679854,134.6270987,
49,その他,香住区香住,ＪＡたじま香住支店,玄関,香美町香住区香住1262-14,0796-36-1000,35.63553259,134.6263168,
50,その他,香住区七日市,やまだ歯科医院,レントゲン室内,香美町香住区七日市115-3,0796-36-3316,35.63655069,134.6198554,
51,その他,香住区矢田,香住高校（事務室）,事務室内,香美町香住区矢田40-1 ,0796-36-1181,35.64090764,134.6121869,
52,その他,香住区訓谷,民宿「かどや」,玄関を入り右側,香美町香住区訓谷319,0796-38-0113,35.6532425,134.6912541,
53,その他,香住区三谷,（株）トキワ,エレベータ前,香美町香住区三谷735,0796-36-0127,35.61237323,134.6313758,
54,その他,香住区三谷,かすみ・矢田川温泉,フロント内,香美町香住区三谷754,0796-37-1126,35.61173943,134.6319432,
55,その他,香住区森,特別養護老人ホーム　しいの木荘,グループホーム,香美町香住区森61-1,0796-36-3833,35.62609298,134.6277116,
56,その他,香住区沖浦,但馬漁業協同組合柴山支所,玄関,香美町香住区沖浦911-8,0796-37-0301,35.65432831,134.6607132,
57,その他,村岡区村岡,村岡高校,本館　２階の昇降口,香美町村岡区村岡2931 ,0796-94-0201,35.46507454,134.5991089,
58,その他,村岡区村岡,ＪＡたじま村岡支店,玄関,香美町村岡区村岡2325-3,0796-94-0341,35.47270314,134.5961424,
59,その他,村岡区村岡,ＪＡたじま村岡営農生活センター,玄関,香美町村岡区村岡2774,0796-98-1111,35.46445744,134.6024297,
60,その他,村岡区中大谷,スカイバレイスキー場,冬：パトロールセンター　　夏：事務所内,香美町村岡区中大谷701,0796-96-1101,35.39777897,134.5730559,
61,その他,村岡区大笹,鉢伏観光開発ハチ北事務所,パトロールセンター内,香美町村岡区大笹580-1,0796-96-0201,35.40755957,134.5539587,
62,その他,村岡区和池,木の殿堂,事務室内,香美町村岡区和池951,0796-96-1388,35.4284541,134.5796763,
63,その他,村岡区宿,兎和野高原野外教育センター,事務室内,香美町村岡区宿791-1,0796-94-0211,35.43721128,134.5831378,
64,その他,村岡区味取,今後建設,事務室内,香美町村岡区味取307,0796-95-0107,35.54635527,134.5649864,
65,その他,小代区新屋,とちのき村（事務所、キャンプ場）,事務所内,香美町小代区新屋1432-35,0796-97-3600,35.39983346,134.5212455,
66,その他,小代区大谷,ＪＡたじま美方支店,玄関,香美町小代区大谷560-1,0796-97-2881,35.45482315,134.5335412,
67,その他,小代区大谷,旧但馬信用金庫美方支店,ATMコーナー,香美町小代区大谷87,?0796-97-3140,35.45504062,134.5355099,
