全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考,市民(外部の方)の使用する条件
332020,1,岡山県倉敷市,市役所（本庁舎）,シヤクショホンチョウシャ,,332020,,岡山県倉敷市西中新田640,岡山県,倉敷市,西中新田,640,,34.584843,133.772103,,,1階国民健康保険課前,(086)426-3121,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業;毎週木曜日19時まで延長,,,,,,,,倉敷地区,
332020,2,岡山県倉敷市,倉敷市児島支所,クラシキシコジマシショ,,332020,,岡山県倉敷市児島小川町3681-3,岡山県,倉敷市,児島小川町,3681-3,,34.467150,133.813769,,,1階市民ホール,(086)473-1111,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業;毎週木曜19:00まで延長,,,,,,,,児島地区,
332020,3,岡山県倉敷市,倉敷市玉島支所,クラシキシタマシマシショ,,332020,,岡山県倉敷市玉島阿賀崎1-1-1,岡山県,倉敷市,玉島阿賀崎,1-1-1,,34.547778,133.673821,,,低層棟1階玄関ホール,(086)522-8111,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業;毎週木曜日19時まで延長,,,,,,,,玉島地区,
332020,4,岡山県倉敷市,倉敷市水島支所,クラシキシミズシマシショ,,332020,,岡山県倉敷市水島北幸町1-1,岡山県,倉敷市,水島北幸町,1-1,,34.539685,133.741536,,,1階正面玄関入り口内,(086)446-1111,,,,,,,,,,,年末年始12月29日から1月3日まで休業;毎週木曜日19時まで延長,,,,,,,,水島地区,
332020,5,岡山県倉敷市,倉敷市庄支所,クラシキシショウシショ,,332020,,岡山県倉敷市上東756,岡山県,倉敷市,上東,756,,34.643893,133.827577,,,受付カウンター,(086)462-1212,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業;毎週木曜日19時まで延長,,,,,,,,庄地区,
332020,6,岡山県倉敷市,倉敷市茶屋町支所,クラシキシチャヤマチシショ,,332020,,岡山県倉敷市茶屋町2087,岡山県,倉敷市,茶屋町,2087,,34.581234,133.822593,,,1階市民係,(086)428-0001,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業;毎週木曜日19時まで延長,,,,,,,,茶屋町地区,
332020,8,岡山県倉敷市,倉敷市真備支所,クラシキシマビシショ,,332020,,岡山県倉敷市真備町箭田1141-1,岡山県,倉敷市,真備町箭田,1141-1,,34.628904,133.692143,,,1階市民課窓口,(086)698-1111,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業;毎週木曜日19時まで延長,,,,,,,,真備地区,
332020,9,岡山県倉敷市,倉敷市中央斎場,クラシキシチュウオウサイジョウ,,332020,,岡山県倉敷市福田町福田434-1,岡山県,倉敷市,福田町福田,434-1,,34.544606,133.784290,,,1階エントランス,(086)426-3361,,,,,,,,,,,毎月第2・4友引及び1月1日から3日まで休業,,,,,,,,水島地区,職員へ声をかけてください
332020,10,岡山県倉敷市,倉敷市玉島斎場,クラシキシタマシマサイジョウ,,332020,,岡山県倉敷市玉島長尾4110,岡山県,倉敷市,玉島長尾,4110,,34.580803,133.676068,,,事務所内,(086)426-3361,,,,,,,,,,,友引（毎月第4友引は除く）及び1月1日は休業,,,,,,,,玉島地区,職員へ声をかけてください
332020,11,岡山県倉敷市,倉敷市倉敷民主会館,クラシキシクラシキミンシュカイカン,,332020,,岡山県倉敷市宮前641,岡山県,倉敷市,宮前,641,,34.612588,133.761079,,,1階窓口,(086)423-0503,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業,,,,,,,,倉敷地区,使用時間帯が開館時間帯と重なる場合のみ使用可
332020,12,岡山県倉敷市,倉敷市水島会館,クラシキミズシマカイカン,,332020,,岡山県倉敷市連島1-10-33,岡山県,倉敷市,連島,1-10-33,,34.544887,133.737657,,,1階廊下,(086)448-1020,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業,,,,,,,,水島地区,使用時間帯が開館時間帯と重なる場合のみ使用可
332020,13,岡山県倉敷市,倉敷市児島民主会館,クラシキシコジマミンシュカイカン,,332020,,岡山県倉敷市林2062-5,岡山県,倉敷市,林,2062-5,,34.532417,133.811209,,,1階玄関,(086)485-3055,,,,,,,,,,,年末年始12月29日から1月3日まで休業,,,,,,,,児島地区,使用時間帯が開館時間帯と重なる場合のみ使用可
332020,14,岡山県倉敷市,倉敷市玉島池畝会館,クラシキシタマシマイケウネカイカン,,332020,,岡山県倉敷市玉島道口3877-11,岡山県,倉敷市,玉島道口,3877-11,,34.578175,133.647050,,,1階玄関,(086)526-3502,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業,,,,,,,,玉島地区,使用時間帯が開館時間帯と重なる場合のみ使用可
332020,15,岡山県倉敷市,倉敷市真備人権ふれあい館,クラシキシマビジンケンフレアイカン,,332020,,岡山県倉敷市真備町箭田753-6,岡山県,倉敷市,真備町箭田,753-6,,34.631298,133.695436,,,1階玄関,(086)698-2350,,,,,,,,,,,年末年始（12月29日から1月3日まで）休業,,,,,,,,真備地区,使用時間帯が開館時間帯と重なる場合のみ使用可
332020,18,岡山県倉敷市,水島勤労福祉センター,ミズシマキンロウフクシセンター,,332020,,岡山県倉敷市水島明神町3-13,岡山県,倉敷市,水島明神町,3-13,,34.531236,133.731302,,,事務室内,(086)448-5371,,,,,,,,,,,日曜日・祝日は、8時から17時まで使用可能;祝日の翌日、12月28日〜1月4日は休業,,,,,,,,水島地区,
332020,20,岡山県倉敷市,倉敷市保健所,クラシキシホケンジョ,,332020,,岡山県倉敷市笹沖170,岡山県,倉敷市,笹沖,170,,34.572385,133.764942,,,1階ロビー,(086)434-9800,,,,,,,,,,,年末年始12月29日から1月3日まで休業,,,,,,,,倉敷地区,
332020,21,岡山県倉敷市,くらしき健康福祉プラザ_中央監視室,クラシキケンコウフクシプラザ_チュウオウカンシシツ,,332020,,岡山県倉敷市笹沖180,岡山県,倉敷市,笹沖,180,,34.572494,133.763913,,,中央監視室,(086)434-9850,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,22,岡山県倉敷市,ライフパーク倉敷,ライフパーククラシキ,,332020,,岡山県倉敷市福田町古新田940,岡山県,倉敷市,福田町古新田,940,,34.536082,133.769165,,,1階ロビー,(086)454-0011,,,,,,,,,,,日曜日・祝日以外は21時まで使用可能;年末年始12月28日〜1月4日休館日;月曜日が祝日の場合開館し翌日が休館,,,,,,,,水島地区,使用希望時間帯が開所時間帯と重なる場合のみ使用可
332020,23,岡山県倉敷市,倉敷市立美術館,クラシキシリツビジュツカン,,332020,,岡山県倉敷市中央2-6-1,岡山県,倉敷市,中央,2-6-1,,34.594728,133.768945,,,1階ロビー,(086)425-6034,,,,,,,,,,,月曜祝日は開館（翌火曜日休館）;年末年始12月28日〜1月4日休館;6月燻蒸期間（約1週間）休館,,,,,,,,倉敷地区,
332020,24,岡山県倉敷市,倉敷市立自然史博物館,クラシキシリツシゼンシハクブツカン,,332020,,岡山県倉敷市中央2-6-1,岡山県,倉敷市,中央,2-6-1,,34.595436,133.768625,,,1階観光休憩所内男女トイレそば,(086)425-6037,,,,,,,,,,,年末年始12月29日から1月3日まで休業（観光休憩所の休業日）;燻蒸と停電日は休館,,,,,,,,倉敷地区,
332020,25,岡山県倉敷市,倉敷市芸文館,クラシキシゲイブンカン,,332020,,岡山県倉敷市中央1-18-1,岡山県,倉敷市,中央,1-18-1,,34.593087,133.771034,,,1階事務室,(086)434-0400,,,,,,,,,,,年末年始12月29日から1月3日まで休業;水曜日が祝日の場合は開館とし、翌平日が閉館,,,,,,,,倉敷地区,
332020,26,岡山県倉敷市,倉敷市民会館,クラシキシミンカイカン,,332020,,岡山県倉敷市本町17-1,岡山県,倉敷市,本町,17-1,,34.596007,133.776088,,,1階事務室前（ロビー）,(086)425-1515,,,,,,,,,,,年末年始12月29日から1月3日まで休業;水曜日が祝日の場合は開館とし、翌平日が閉館,,,,,,,,倉敷地区,
332020,29,岡山県倉敷市,倉敷市玉島文化センター,クラシキシタマシマブンカセンター,,332020,,岡山県倉敷市玉島阿賀崎1-6-27,岡山県,倉敷市,玉島阿賀崎,1-6-27,,34.549667,133.675350,,,1階事務所,(086)525-2611,,,,,,,,,,,年末年始12月29日から1月3日まで休業;水曜日が祝日の場合は開館とし、翌平日が閉館,,,,,,,,玉島地区,
332020,31,岡山県倉敷市,倉敷公民館,クラシキコウミンカン,,332020,,岡山県倉敷市本町2-21,岡山県,倉敷市,本町,2-21,,34.596964,133.771709,,,1階ロビー,(086)423-2135,,,,,,,,,,,日曜日・祝日以外は21時まで使用可能;年末年始12月28日〜1月4日休館日;月曜日が祝日の場合開館し翌日が休館,,,,,,,,倉敷地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,32,岡山県倉敷市,倉敷市児島公民館,クラシキシコジマコウミンカン,,332020,,岡山県倉敷市児島味野2-2-38,岡山県,倉敷市,児島味野,2-2-38,,34.468262,133.803566,,,1階事務所前,(086)472-7423,,,,,,,,,,,日曜日・祝日以外は21時まで使用可能;年末年始12月28日〜1月4日休館日;月曜日が祝日の場合開館し、翌日が休館,,,,,,,,児島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,33,岡山県倉敷市,倉敷市水島公民館,クラシキシミズシマコウミンカン,,332020,,岡山県倉敷市水島北幸町1-2,岡山県,倉敷市,水島北幸町,1-2,,34.540230,133.741616,,,玄関,(086)444-2541,,,,,,,,,,,日曜日・祝日以外は21時まで使用可能;年末年始12月28日〜1月4日休館日;月曜日が祝日の場合開館し翌日が休館,,,,,,,,水島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,34,岡山県倉敷市,倉敷市玉島公民館,クラシキシタマシマコウミンカン,,332020,,岡山県倉敷市玉島阿賀崎1-10-1,岡山県,倉敷市,玉島阿賀崎,1-10-1,,34.551200,133.676729,,,1階事務所前,(086)526-7625,,,,,,,,,,,日曜日・祝日以外は21時まで使用可能;年末年始12月28日〜1月4日休館日;月曜日が祝日の場合開館し翌日が休館,,,,,,,,玉島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,35,岡山県倉敷市,倉敷市倉敷東公民館,クラシキシクラシキヒガシコウミンカン,,332020,,岡山県倉敷市浜町2-2-30,岡山県,倉敷市,浜町,2-2-30,,34.606726,133.771787,,,1階ロビー,(086)425-7774,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,倉敷地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,36,岡山県倉敷市,倉敷市倉敷西公民館,クラシキシクラシキニシコウミンカン,,332020,,岡山県倉敷市八王寺町199-3,岡山県,倉敷市,八王寺町,199-3,,34.599094,133.752524,,,1階ロビー,(086)424-3610,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,倉敷地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,37,岡山県倉敷市,倉敷市倉敷南公民館,クラシキシクラシキミナミコウミンカン,,332020,,岡山県倉敷市沖新町68-1,岡山県,倉敷市,沖新町,68-1,,34.582713,133.753391,,,玄関,(086)426-0240,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,倉敷地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,38,岡山県倉敷市,倉敷市倉敷北公民館,クラシキシクラシキキタコウミンカン,,332020,,岡山県倉敷市中庄1895-1,岡山県,倉敷市,中庄,1895-1,,34.614343,133.796712,,,玄関,(086)462-3022,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,倉敷地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,39,岡山県倉敷市,倉敷市多津美公民館,クラシキシタツミコウミンカン,,332020,,岡山県倉敷市加須山503-7,岡山県,倉敷市,加須山,503-7,,34.586241,133.794685,,,玄関,(086)428-6541,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,倉敷地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,40,岡山県倉敷市,倉敷市新田公民館,クラシキシシンデンコウミンカン,,332020,,岡山県倉敷市新田2723-3,岡山県,倉敷市,新田,2723-3,,34.571738,133.779844,,,玄関,(086)427-6354,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,倉敷地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,41,岡山県倉敷市,倉敷市庄公民館,クラシキシショウコウミンカン,,332020,,岡山県倉敷市上東736-1,岡山県,倉敷市,上東,736-1,,34.644755,133.827401,,,玄関,(086)462-5151,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合、翌日も休館,,,,,,,,庄地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,42,岡山県倉敷市,倉敷市茶屋町公民館,クラシキシチャヤマチコウミンカン,,332020,,岡山県倉敷市茶屋町1604-4,岡山県,倉敷市,茶屋町,1604-4,,34.579616,133.828582,,,玄関,(086)428-1315,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合、翌日も休館,,,,,,,,茶屋町地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,43,岡山県倉敷市,倉敷市西阿知公民館,クラシキシニシアチコウミンカン,,332020,,岡山県倉敷市西阿知町1122-2,岡山県,倉敷市,西阿知町,1122-2,,34.587165,133.726562,,,1階ロビー,(086)465-0836,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,倉敷地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,44,岡山県倉敷市,倉敷市福田公民館,クラシキシフクダコウミンカン,,332020,,岡山県倉敷市福田町古新田274-21,岡山県,倉敷市,福田町古新田,274-21,,34.541813,133.759601,,,玄関,(086)454-0148,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,水島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,45,岡山県倉敷市,倉敷市福田南公民館,クラシキシフクダミナミコウミンカン,,332020,,岡山県倉敷市東塚5-5-35,岡山県,倉敷市,東塚,5-5-35,,34.529893,133.764108,,,玄関,(086)456-2467,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,水島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,46,岡山県倉敷市,倉敷市連島公民館,クラシキシツラジマコウミンカン,,332020,,岡山県倉敷市連島町西之浦497-1,岡山県,倉敷市,連島町西之浦,497-1,,34.548144,133.720948,,,玄関,(086)448-0655,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,水島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,47,岡山県倉敷市,倉敷市連島南公民館,クラシキシツラジマミナミコウミンカン,,332020,,岡山県倉敷市連島町鶴新田980-1,岡山県,倉敷市,連島町鶴新田,980-1,,34.545254,133.715635,,,玄関,(086)448-9631,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,水島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,48,岡山県倉敷市,倉敷市下津井公民館,クラシキシシモツイコウミンカン,,332020,,岡山県倉敷市下津井2-815-1,岡山県,倉敷市,下津井,2-815-1,,34.438973,133.792863,,,玄関,(086)479-8633,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合、翌日も休館,,,,,,,,児島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
