全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結標記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
434337,MASOAEDK0001,南阿蘇村,四季の森温泉,シキノモリオンセン,,434337,,熊本県阿蘇郡南阿蘇村久石3160番地,熊本県,南阿蘇村,久石,3160番地,,32.815408,131.051203,階数,1,温泉受付横,0967671390,,,,,,,,月火水木金土日,06:30,21:30,,,,,,,,,
434337,MASOAEDK0002,南阿蘇村,阿蘇望の郷,アソボウノサト,,434337,,熊本県阿蘇郡南阿蘇村久石2801番地,熊本県,南阿蘇村,久石,2801番地,,32.819106,131.041259,階数,1,事務所内,0967673010,,,,,,,,月火水木金土日,08:30,17:00,第2水曜日が休暇により利用不可。その他、不定休。,,,,,,,,
434337,MASOAEDK0003,南阿蘇村,南阿蘇観光案内所,ミナミアソカンコウアンナイジョ,,434337,,熊本県阿蘇郡南阿蘇村久石2801番地,熊本県,南阿蘇村,久石,2801番地,,32.818812,131.041493,階数,1,建物内入口横,0967672222,,,,,,,,月火水木金土日,09:00,17:00,,,,,,,,,
434337,MASOAEDK0004,南阿蘇村,南阿蘇社会福祉協議会,ミナミアソシャカイフクシキョウギカイ,,434337,,熊本県阿蘇郡南阿蘇村久石2705番地,熊本県,南阿蘇村,久石,2705番地,,32.820749,131.036255,階数,1,研修室内,0967670294,,,,,,,,月火水木金土,08:30,17:30,12/31～1/3は利用不可。,,,,,,,,
434337,MASOAEDK0005,南阿蘇村,久木野体育館,クギノタイイクカン,,434337,,熊本県阿蘇郡南阿蘇村河陰5番地2,熊本県,南阿蘇村,河陰,5番地2,,32.814305,131.028263,階数,1,玄関ロビー下駄箱上,,,,,,,,,月火水木金土日,08:30,18:00,イベント等で施設利用時のみ。鍵が必要。,,,,,,,,
434337,MASOAEDK0006,南阿蘇村,久木野小学校,クギノショウガッコウ,,434337,,熊本県阿蘇郡南阿蘇村河陰130番地1,熊本県,南阿蘇村,河陰,130番地1,,32.819670,131.031645,階数,1,職員室内,0967670232,,,,,,,,月火水木金,07:30,18:00,祝日や大型連休は利用不可。,,,,,,,,
434337,MASOAEDK0007,南阿蘇村,久木野放課後児童クラブ,クギノホウカゴジドウクラブ,,434337,,熊本県阿蘇郡南阿蘇村河陰127番地,熊本県,南阿蘇村,河陰,127番地,,32.819897,131.031550,階数,1,職員事務エリアの棚,,,,,,,,,月火水木金,13:30,18:30,夏休み等の学校が長期連休の際は朝7時から利用可能。12/29～1/3は利用不可。,,,,,,,,
434337,MASOAEDK0008,南阿蘇村,くぎの保育園,クギノホイクエン,,434337,,熊本県阿蘇郡南阿蘇村河陰139番地1,熊本県,南阿蘇村,河陰,139番地1,,32.820811,131.031744,階数,1,職員室前廊下,0967670229,,,,,,,,月火水木金土,07:30,17:00,祝日や大型連休は利用不可。,,,,,,,,
434337,MASOAEDK0009,南阿蘇村,LOOPみなみあそ,ループミナミアソ,,434337,,熊本県阿蘇郡南阿蘇村河陰145番地3,熊本県,南阿蘇村,河陰,145番地3,,32.822111,131.031693,階数,1,玄関ロビー,0967658581,,,,,,,,月火水木金土日,09:00,17:30,12/30～1/3は利用不可,,,,,,,,
434337,MASOAEDK0010,南阿蘇村,白水物産館「自然庵」,ハクスイブッサンカンシゼンアン,,434337,,熊本県阿蘇郡南阿蘇村白川2096番地1,熊本県,南阿蘇村,白川,2096番地1,,32.823638,131.094272,階数,1,1階店舗内,,,,,,,,,月火水木金土日,09:00,17:00,定休日なし,,,,,,,,
434337,MASOAEDK0011,南阿蘇村,白水保健センター,ハクスイホケンセンター,,434337,,熊本県阿蘇郡南阿蘇村吉田1490番地1,熊本県,南阿蘇村,吉田,1490番地1,,32.824607,131.081866,階数,1,玄関,,,,,,,,,月火水木金,08:30,17:15,,,,,,,,,
434337,MASOAEDK0012,南阿蘇村,白水小学校,ハクスイショウガッコウ,,434337,,熊本県阿蘇郡南阿蘇村吉田2301番地,熊本県,南阿蘇村,吉田,2301番地,,32.827139,131.082867,階数,1,保健室内、体育館玄関,0967629443,,,,,,,,月火水木金,08:15,16:45,2箇所設置,,,,,,,,
434337,MASOAEDK0013,南阿蘇村,ちょうよう保育園,チョウヨウホイクエン,,434337,,熊本県阿蘇郡南阿蘇村河陽3713番地,熊本県,南阿蘇村,河陽,3713番地,,32.861149,131.004619,階数,1,職員室内,096767672251,,,,,,,,月火水木金土,08:30,17:00,日曜、祝日は利用不可。,,,,,,,,
434337,MASOAEDK0014,南阿蘇村,白水放課後児童クラブ（旧白水小）,ハクスイホウカゴジドウクラブ,,434337,,熊本県阿蘇郡南阿蘇村吉田1499番地,熊本県,南阿蘇村,吉田,1499番地,,32.826818,131.081443,階数,1,教室A,,,,,,,,,月火水木金,15:00,18:00,2箇所設置、時間は冬休み、夏休み期間など変動あり。,,,,,,,,
