全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
332101,0000000001,岡山県新見市,新見千屋温泉いぶきの里,,,332101,,岡山県新見市千屋花見1336-5,岡山県,新見市,千屋花見,1336-5,,35.168563,133.410443,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000002,岡山県新見市,千屋小学校,,,332101,,岡山県新見市千屋花見48,岡山県,新見市,千屋花見,48,,35.142532,133.427857,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000003,岡山県新見市,千屋市民センター,,,332101,,岡山県新見市千屋実1435-7,岡山県,新見市,千屋実,1435-7,,35.107189,133.436860,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000004,岡山県新見市,足立連絡所,,,332101,,岡山県新見市足立3852-1,岡山県,新見市,足立,3852-1,,35.044516,133.382570,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000005,岡山県新見市,福本公民館,,,332101,,岡山県新見市菅生8832,岡山県,新見市,菅生,8832,,35.050639,133.456598,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000006,岡山県新見市,菅生市民センター,,,332101,,岡山県新見市菅生6135-5,岡山県,新見市,菅生,6135-5,,35.078117,133.500477,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000007,岡山県新見市,熊谷市民センター,,,332101,,岡山県新見市上熊谷3663-3,岡山県,新見市,上熊谷,3663-3,,35.017585,133.511508,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000008,岡山県新見市,塩城小学校,,,332101,,岡山県新見市上熊谷3772,岡山県,新見市,上熊谷,3772,,35.016553,133.512658,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000009,岡山県新見市,熊谷認定こども園,,,332101,,岡山県新見市上熊谷3761-2,岡山県,新見市,上熊谷,3761-2,,35.017489,133.512053,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000010,岡山県新見市,新見市民体育館,,,332101,,岡山県新見市下熊谷22-2,岡山県,新見市,下熊谷,22-2,,34.998015,133.465375,,,,,,,,,,,,,,,,,,,,,,,
