全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
293431,1,奈良県生駒郡三郷町,三郷町役場,サンゴウチョウヤクバ,,,,奈良県生駒郡三郷町勢野西1-1-1,,,,,,34.60030,135.69556,,,1階住民福祉課,0745-73-2101,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,2,奈良県生駒郡三郷町,ふれあい交流センター,フレアイコウリュウセンター,,,,奈良県生駒郡三郷町立野北1-36-39,,,,,,34.59469,135.69170,,,1階事務室,0745-32-2112,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,3,奈良県生駒郡三郷町,福祉保健センター,フクシホケンセンター,,,,奈良県生駒郡三郷町勢野西1-2-1,,,,,,34.60092,135.69616,,,1階長寿健康課,0745-43-7323,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,4,奈良県生駒郡三郷町,西部保育園,セイブホイクエン,,,,奈良県生駒郡三郷町立野北1-45-5,,,,,,34.59466,135.68921,,,1階事務室,0745-73-7634,,,,,,,三郷町,月火水木金土,07:30,20:00,年末年始は利用不可,有,,,,,,,
293431,5,奈良県生駒郡三郷町,南畑幼稚園,ミナミハタヨウチエン,,,,奈良県生駒郡三郷町信貴南畑1-2-58,,,,,,34.60581,135.66831,,,1階玄関,0745-73-5128,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,6,奈良県生駒郡三郷町,ちぃすてっぷ,チィステップ,,,,奈良県生駒郡三郷町勢野西1-4-4,,,,,,34.60088,135.69434,,,1階玄関,0745-31-6639,,,,,,,三郷町,月火水木金,10:00,15:00,年末年始は利用不可,有,,,,,,,
293431,7,奈良県生駒郡三郷町,清掃センター,セイソウセンター,,,,奈良県生駒郡三郷町大字勢野2141,,,,,,34.61331,135.68071,,,1階玄関,0745-73-6518,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,8,奈良県生駒郡三郷町,共同浴場もみじ湯,キョウドウヨクジョウモミジユ,,,,奈良県生駒郡三郷町立野北1-35-1,,,,,,34.59424,135.69259,,,1階受付,0745-72-5436,,,,,,,三郷町,月火水木金土日,16:30,21:00,第2・第4日曜日及び年末年始は利用不可,有,,,,,,,
293431,9,奈良県生駒郡三郷町,三郷小学校①,サンゴウショウガッコウイチ,,,,奈良県生駒郡三郷町勢野西1-6-1,,,,,,34.60055,135.69308,,,1階職員室,0745-32-0555,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,10,奈良県生駒郡三郷町,三郷小学校②,サンゴウショウガッコウニ,,,,奈良県生駒郡三郷町勢野西1-6-1,,,,,,34.60055,135.69308,,,体育館（舞台袖）,0745-32-0555,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,11,奈良県生駒郡三郷町,三郷北小学校①,サンゴウキタショウガッコウイチ,,,,奈良県生駒郡三郷町美松ヶ丘西2-11-1,,,,,,34.61169,135.69756,,,1階職員室,0745-32-5577,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,12,奈良県生駒郡三郷町,三郷北小学校②,サンゴウキタショウガッコウニ,,,,奈良県生駒郡三郷町美松ヶ丘西2-11-1,,,,,,34.61169,135.69756,,,体育館（入口）,0745-32-5577,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,13,奈良県生駒郡三郷町,三郷中学校①,サンゴウチュウガッコウイチ,,,,奈良県生駒郡三郷町立野北1-3-1,,,,,,34.59858,135.69347,,,体育館（入口）,0745-32-0333,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
