全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,所在地_連結表示,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,緯度,経度,台数,備考
462217,1,鹿児島県志布志市,在宅介護支援センターやっちく,ザイタクカイゴシエンセンターヤッチク,志布志市松山町泰野1111番地,鹿児島県,志布志市,松山町泰野,1111番地,31.57456107,131.0814494,2,
462217,2,鹿児島県志布志市,泰野分団詰所,タイノブンダンツメショ,志布志市松山町泰野583番地１,鹿児島県,志布志市,松山町泰野,583番地１,31.57038137,131.0776322,1,
462217,3,鹿児島県志布志市,みどり保育園,ミドリホイクエン,志布志市松山町泰野502番地２,鹿児島県,志布志市,松山町泰野,502番地２,31.56936729,131.0768822,1,小児用パッドあり
462217,4,鹿児島県志布志市,泰野地区公民館,タイノチクコウミンカン,志布志市松山町泰野547番地１,鹿児島県,志布志市,松山町泰野,547番地１,31.57017227,131.077233,1,小児用パッドあり
462217,5,鹿児島県志布志市,田之浦小学校,タノウラショウガッコウ,志布志市志布志町田之浦2019番地２,鹿児島県,志布志市,志布志町田之浦,2019番地２,31.56202525,131.1330143,1,小児用パッドあり
462217,6,鹿児島県志布志市,尾野見小学校,オノミショウガッコウ,志布志市松山町尾野見36番地,鹿児島県,志布志市,松山町尾野見,36番地,31.5526997,131.1000069,1,小児用パッドあり
462217,7,鹿児島県志布志市,尾野見地区公民館,オノミチクコウミンカン,志布志市松山町尾野見44番地３,鹿児島県,志布志市,松山町尾野見,44番地３,31.55115898,131.1002,1,小児用パッドあり
462217,8,鹿児島県志布志市,松山中学校,マツヤマチュウガッコウ,志布志市松山町泰野3870番地,鹿児島県,志布志市,松山町泰野,3870番地,31.570062,131.07125,1,小児用パッドあり
462217,9,鹿児島県志布志市,泰野小学校,タイノショウガッコウ,志布志市松山町泰野3743番地,鹿児島県,志布志市,松山町泰野,3743番地,31.56822486,131.0739543,1,小児用パッドあり
462217,10,鹿児島県志布志市,やっちくふれあいセンター,ヤッチクフレアイセンター,志布志市松山町泰野3410番地,鹿児島県,志布志市,松山町泰野,3410番地,31.565153,131.080552,1,小児用パッドあり
462217,11,鹿児島県志布志市,道の駅　やっちくふるさと村,ミチノエキ　ヤッチクフルサトムラ,志布志市松山町新橋1526番地１,鹿児島県,志布志市,松山町新橋,1526番地１,31.58165217,131.0423899,1,
462217,12,鹿児島県志布志市,城山総合公園体育館,シロヤマソウゴウコウエンタイイクカン,志布志市松山町新橋1570番地17,鹿児島県,志布志市,松山町新橋,1570番地17,31.58029903,131.038978,1,小児用パッドあり
462217,13,鹿児島県志布志市,老人福祉センター,ロウジンフクシセンター,志布志市松山町新橋268番地,鹿児島県,志布志市,松山町新橋,268番地,31.57688181,131.0407808,1,小児用パッドあり
462217,14,鹿児島県志布志市,新橋地区公民館,シンバシチクコウミンカン,志布志市松山町新橋268番地,鹿児島県,志布志市,松山町新橋,268番地,31.57688108,131.0405338,1,
462217,15,鹿児島県志布志市,城南保育園,ジョウナンホイクエン,志布志市松山町新橋1564番地,鹿児島県,志布志市,松山町新橋,1564番地,31.57621804,131.040512,1,
462217,16,鹿児島県志布志市,新橋分団詰所,シンバシブンダンツメショ,志布志市松山町新橋129番地２,鹿児島県,志布志市,松山町新橋,129番地２,31.57548717,131.0356912,1,
462217,17,鹿児島県志布志市,伊﨑田中学校,イサキダチュウガッコウ,志布志市有明町伊﨑田8866番地,鹿児島県,志布志市,有明町伊﨑田,8866番地,31.532915,131.050887,1,小児用パッドあり
462217,18,鹿児島県志布志市,第一分団詰所,ダイイチブンダンツメショ,志布志市有明町伊﨑田8848番地２,鹿児島県,志布志市,有明町伊﨑田,8848番地２,31.53157792,131.0513097,1,
462217,19,鹿児島県志布志市,伊﨑田小学校,イサキダショウガッコウ,志布志市有明町伊﨑田8845番地１,鹿児島県,志布志市,有明町伊﨑田,8845番地１,31.53190896,131.051939,1,小児用パッドあり
462217,20,鹿児島県志布志市,伊﨑田地区公民館,イサキダチクコウミンカン,志布志市有明町伊﨑田8846番地,鹿児島県,志布志市,有明町伊﨑田,8846番地,31.53151604,131.052196,1,小児用パッドあり
462217,21,鹿児島県志布志市,伊﨑田保育園,イサキダホイクエン,志布志市有明町伊﨑田8851番地,鹿児島県,志布志市,有明町伊﨑田,8851番地,31.53206904,131.052641,1,小児用パッドあり
462217,22,鹿児島県志布志市,森山小学校,モリヤマショウガッコウ,志布志市志布志町内之倉1642番地２,鹿児島県,志布志市,志布志町内之倉,1642番地２,31.531982,131.135538,1,小児用パッドあり
462217,23,鹿児島県志布志市,潤ヶ野小学校,ウルガノショウガッコウ,志布志市志布志町帖10638番地,鹿児島県,志布志市,志布志町帖,10638番地,31.51382999,131.1502271,1,小児用パッドあり
462217,24,鹿児島県志布志市,帖五区分団詰所,チョウゴクブンダンツメショ,志布志市志布志町帖4789番地４,鹿児島県,志布志市,志布志町帖,4789番地４,31.50673304,131.0964143,1,
462217,25,鹿児島県志布志市,有明保育園,アリアケホイクエン,志布志市有明町野井倉1182番地９,鹿児島県,志布志市,有明町野井倉,1182番地９,31.49260604,131.05446,1,小児用パッドあり
462217,26,鹿児島県志布志市,有明小学校,アリアケショウガッコウ,志布志市有明町野井倉1182番地,鹿児島県,志布志市,有明町野井倉,1182番地,31.49192709,131.0545273,1,小児用パッドあり
462217,27,鹿児島県志布志市,第二分団詰所,ダイニブンダンツメショ,志布志市有明町野井倉1565番地８,鹿児島県,志布志市,有明町野井倉,1565番地８,31.49181344,131.0532378,1,
462217,28,鹿児島県志布志市,有明中学校,アリアケチュウガッコウ,志布志市有明町野井倉1582番地,鹿児島県,志布志市,有明町野井倉,1582番地,31.49035099,131.053178,1,小児用パッドあり
462217,29,鹿児島県志布志市,有明運動公園体育館,アリアケウンドウコウエンタイイクカン,志布志市有明町野井倉1756番地,鹿児島県,志布志市,有明町野井倉,1756番地,31.49761663,131.0467344,1,
462217,30,鹿児島県志布志市,志布志市役所有明庁舎,シブシシヤクショアリアケチョウシャ,志布志市有明町野井倉1756番地,鹿児島県,志布志市,有明町野井倉,1756番地,31.495492,131.045512,1,小児用パッドあり
462217,31,鹿児島県志布志市,蓬の郷,ヨモギノサト,志布志市有明町蓬原351番地３,鹿児島県,志布志市,有明町蓬原,351番地３,31.47048198,131.038324,1,
462217,32,鹿児島県志布志市,蓬原小学校,フツハラショウガッコウ,志布志市有明町蓬原815番地,鹿児島県,志布志市,有明町蓬原,815番地,31.48081304,131.028678,1,小児用パッドあり
462217,33,鹿児島県志布志市,蓬原保育園,フツハラホイクエン,志布志市有明町蓬原815番地,鹿児島県,志布志市,有明町蓬原,815番地,31.48202001,131.029,1,小児用パッドあり
462217,34,鹿児島県志布志市,宇都中学校,ウトチュウガッコウ,志布志市有明町原田2256番地１,鹿児島県,志布志市,有明町原田,2256番地１,31.48075802,131.0078,1,小児用パッドあり
462217,35,鹿児島県志布志市,川西地区公民館,カワニシチクコウミンカン,志布志市有明町蓬原2249番地１,鹿児島県,志布志市,有明町蓬原,2249番地１,31.48375902,131.006041,1,小児用パッドあり
462217,36,鹿児島県志布志市,のがみ保育園,ノガミホイクエン,志布志市有明町野神3143番地２,鹿児島県,志布志市,有明町野神,3143番地２,31.49140356,130.9892473,1,小児用パッドあり
462217,37,鹿児島県志布志市,野神小学校,ノガミショウガッコウ,志布志市有明町野神3139番地,鹿児島県,志布志市,有明町野神,3139番地,31.49173703,130.989347,1,小児用パッドあり
462217,38,鹿児島県志布志市,山重小学校,ヤマシゲショウガッコウ,志布志市有明町山重10873番地２,鹿児島県,志布志市,有明町山重,10873番地２,31.52419102,130.984272,1,小児用パッドあり
462217,39,鹿児島県志布志市,原田小学校,ハラダショウガッコウ,志布志市有明町原田529番地２,鹿児島県,志布志市,有明町原田,529番地２,31.46187099,130.99646,1,小児用パッドあり
462217,40,鹿児島県志布志市,国民宿舎ボルベリアダグリ,コクミンシュクシャボルベリアダグリ,志布志市志布志町夏井203番地,鹿児島県,志布志市,志布志町夏井,203番地,31.46365163,131.1391561,1,
462217,41,鹿児島県志布志市,陣岳分隊詰所,ジンガクブンタイツメショ,志布志市志布志町帖7784番地１,鹿児島県,志布志市,志布志町帖,7784番地１,31.48361863,131.1252216,1,
462217,42,鹿児島県志布志市,双葉保育園,フタバホイクエン,志布志市志布志町帖6565番地１,鹿児島県,志布志市,志布志町帖,6565番地１,31.48217797,131.112001,1,小児用パッドあり
462217,43,鹿児島県志布志市,中央分団詰所,チュウオウブンダンツメショ,志布志市志布志町志布志3222番地２,鹿児島県,志布志市,志布志町志布志,3222番地２,31.47455299,131.1025983,1,
462217,44,鹿児島県志布志市,養護老人ホーム宝寿園,ヨウゴロウジンホームホウジュエン,志布志市志布志町志布志3240番地13,鹿児島県,志布志市,志布志町志布志,3240番地13,31.472674,131.100175,1,小児用パッドあり
462217,45,鹿児島県志布志市,志布志市健康ふれあいプラザ,シブシシケンコウフレアイプラザ,志布志市志布志町志布志3222番地１,鹿児島県,志布志市,志布志町志布志,3222番地１,31.47177919,131.0991843,1,
462217,46,鹿児島県志布志市,志布志警察署,シブシケイサツショ,志布志市志布志町志布志3245番地,鹿児島県,志布志市,志布志町志布志,3245番地,31.47054618,131.0980133,1,
462217,47,鹿児島県志布志市,香月地区公民館,カツキチクコウミンカン,志布志市志布志町志布志三丁目28番６号,鹿児島県,志布志市,志布志町志布志三丁目,28番６号,31.46867209,131.0928514,1,小児用パッドあり
462217,48,鹿児島県志布志市,志布志市立香月小学校,シブシシリツカツキショウガッコウ,志布志市志布志町安楽188番地,鹿児島県,志布志市,志布志町安楽,188番地,31.47054597,131.090444,1,小児用パッドあり
462217,49,鹿児島県志布志市,志布志高等学校,シブシコウトウガッコウ,志布志市志布志町安楽178番地,鹿児島県,志布志市,志布志町安楽,178番地,31.46942998,131.089371,1,
462217,50,鹿児島県志布志市,志布志市埋蔵文化センター,シブシシマイゾウブンカセンター,志布志市志布志町安楽41番地６,鹿児島県,志布志市,志布志町安楽,41番地６,31.47092999,131.088312,1,小児用パッドあり
462217,51,鹿児島県志布志市,志布志運動公園体育館,シブシウンドウコウエンタイイクカン,志布志市志布志町安楽201番地13,鹿児島県,志布志市,志布志町安楽,201番地13,31.46575298,131.090597,1,小児用パッドあり
462217,52,鹿児島県志布志市,志布志運動公園屋内温水プール,シブシウンドウコウエンオクナイオンスイプール,志布志市志布志町安楽201番地1,鹿児島県,志布志市,志布志町安楽,201番地1,31.465207,131.086571,1,小児用パッドあり
462217,53,鹿児島県志布志市,志布志フェリー待合所,シブシフェリーマチアイジョ,志布志市志布志町志布志3292番地,鹿児島県,志布志市,志布志町志布志,3292番地,31.46117098,131.09796,1,
462217,54,鹿児島県志布志市,安楽分団詰所,アンラクブンダンツメショ,志布志市志布志町安楽1847番地１,鹿児島県,志布志市,志布志町安楽,1847番地１,31.47468644,131.0784192,1,
462217,55,鹿児島県志布志市,志布志市立安楽小学校,シブシシリツアンラクショウガッコウ,志布志市志布志町安楽1768番地１,鹿児島県,志布志市,志布志町安楽,1768番地１,31.482158,131.07742,1,小児用パッドあり
462217,56,鹿児島県志布志市,安楽地区公民館,アンラクチクコウミンカン,志布志市志布志町安楽1750番地,鹿児島県,志布志市,志布志町安楽,1750番地,31.48475598,131.076682,1,小児用パッドあり
462217,57,鹿児島県志布志市,志布志市立志布志小学校,シブシシリツシブシショウガッコウ,志布志市志布志町帖6390番地３,鹿児島県,志布志市,志布志町帖,6390番地３,31.48172804,131.107385,1,小児用パッドあり
462217,58,鹿児島県志布志市,志布志地区公民館,シブシチクコウミンカン,志布志市志布志町帖3223番地,鹿児島県,志布志市,志布志町帖,3223番地,31.47944703,131.104762,1,小児用パッドあり
462217,59,鹿児島県志布志市,志布志中学校,シブシチュウガッコウ,志布志市志布志町帖3389番地,鹿児島県,志布志市,志布志町帖,3389番地,31.48139803,131.101956,1,小児用パッドあり
462217,60,鹿児島県志布志市,志布志市文化会館,シブシシブンカカイカン,志布志市志布志町志布志2238番地,鹿児島県,志布志市,志布志町志布志,2238番地,31.4788,131.099145,1,小児用パッドあり
462217,61,鹿児島県志布志市,志布志市立図書館,シブシシリツトショカン,志布志市志布志町志布志2250番地１,鹿児島県,志布志市,志布志町志布志,2250番地１,31.47854402,131.097493,1,小児用パッドあり
462217,62,鹿児島県志布志市,尚志館高等学校,ショウシカンコウトウガッコウ,志布志志布志町安楽6200番地,鹿児島県,志布志市,志布志町安楽,6200番地,31.46321597,131.068525,1,
462217,63,鹿児島県志布志市,通山小学校,トオリヤマショウガッコウ,志布志市有明町野井倉8304番地４,鹿児島県,志布志市,有明町野井倉,8304番地４,31.45459781,131.0626037,1,小児用パッドあり
462217,64,鹿児島県志布志市,通山こども園,トオヤマコドモエン,志布志市有明町野井倉8547番地１,鹿児島県,志布志市,有明町野井倉,8547番地１,31.45937242,131.0623564,1,小児用パッドあり
462217,65,鹿児島県志布志市,松山小学校,マツヤマショウガッコウ,志布志市松山町新橋1502番地,鹿児島県,志布志市,松山町新橋,1502番地,31.57970497,131.043806,1,小児用パッドあり
462217,66,鹿児島県志布志市,志布志市役所松山庁舎,シブシシヤクショマツヤマチョウシャ,志布志市松山町新橋268番地,鹿児島県,志布志市,松山町新橋,268番地,31.57704604,131.041108,1,
462217,67,鹿児島県志布志市,さゆり保育園,サユリホイクエン,志布志市松山町尾野見41番地１,鹿児島県,志布志市,松山町尾野見,41番地１,31.55207288,131.0999441,1,小児用パッドあり
462217,68,鹿児島県志布志市,おおぞら保育園,オオゾラホイクエン,志布志市志布志町内之倉1808番地10,鹿児島県,志布志市,志布志町内之倉,1808番地10,31.51758711,131.1202574,1,
462217,69,鹿児島県志布志市,志布志市役所志布志庁舎,シブシシヤクショシブシチョウシャ,志布志市志布志町志布志二丁目１番１号,鹿児島県,志布志市,志布志町志布志二丁目,１番１号,31.47755501,131.099693,1,小児用パッドあり
