都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考,
424111,1,長崎県,新上五島町,新上五島町消防署・若松支署,シンカミゴトウショウボウショ・ワカマツシショ,〒853-2303　長崎県南松浦郡新上五島町宿ノ浦郷209番地8,,32.88709869,129.0596062,,0959-44-0119,,,,,,,,,,若松地区,
424111,2,長崎県,新上五島町,中五島高校,ナカゴトウコウコウ,〒853-2303　長崎県南松浦郡新上五島町宿ノ浦郷１６２番地１,,32.88385509,129.0592589,,0959-44-0265,,,,,,,,,,若松地区,
424111,3,長崎県,新上五島町,若松診療所,ワカマツシンリョウショ,〒853-2301　長崎県南松浦郡新上五島町若松郷２８１,,32.88747794,129.0216436,,0959-46-3315,,,,月～金,8:30,17:15,土日祝（12/29～1/3）,,,若松地区,
424111,4,長崎県,新上五島町,若松中学校,ワカマツチュウガッコウ,〒853-2301　長崎県南松浦郡新上五島町若松郷４６２番地１３,,32.88636194,129.0275606,,0959-46-2012,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,若松地区,
424111,5,長崎県,新上五島町,若松東小学校,ワカマツシガシショウガッコウ,〒853-2303　長崎県南松浦郡新上五島町宿ノ浦郷６４６番地１,,32.89503682,129.0616736,,0959-45-3424,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,若松地区,
424111,6,長崎県,新上五島町,若松中央小学校,ワカマツチュウオウショウガッコウ,〒853-2315　長崎県南松浦郡新上五島町間伏郷７４,,32.88177916,129.0050257,,0959-46-2301,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,若松地区,
424111,7,長崎県,新上五島町,上荒川警察官駐在所,カミアラカワケイサツカンチュウザイショ,〒853-2304　長崎県南松浦郡新上五島町荒川郷３７番地３,,32.92038981,129.0517586,,0959-45-3879,,,,,,,,,,若松地区,
424111,8,長崎県,新上五島町,若松漁協本部,ワカマツギョキョウホンブ,〒853-2314　長崎県南松浦郡新上五島町漁生浦郷１３３,,32.89081502,129.0250641,,0959-46-2300,,,,,,,,,,若松地区,
424111,9,長崎県,新上五島町,桐ふるさと集会所,キリフルサトシュウカイショ,〒853-2302　長崎県南松浦郡新上五島町桐古里郷429番地1,,32.86563,129.04828,,,,,,,,,,,,若松地区,
424111,10,長崎県,新上五島町,若松保育所,ワカマツホイキショ,〒853-2301　長崎県南松浦郡新上五島町若松郷４３５番地１,,32.88645493,129.0222732,,0959-46-2136,,,,月～土,7:30,18:00,,有（小児も使用できるＡＥＤ）,,若松地区,
424111,11,長崎県,新上五島町,新上五島町役場本庁,シンカミゴトウチョウヤクバホンチョウ,〒857-4495　長崎県南松浦郡新上五島町青方郷１５８５番地１,,32.98459642,129.0734536,,0959-53-1111,,,,,,,,,,上五島地区,
424111,12,長崎県,新上五島町,上五島石油備蓄基地,カミゴトウセキユビチクキチ,〒857-4415　長崎県南松浦郡新上五島町続浜ノ浦郷818-411,,32.98251872,129.0301422,,0959-52-8800,,,,,,,,,,上五島地区,
424111,13,長崎県,新上五島町,新上五島町石油備蓄記念会館,シンカミゴトウチョウセキユビチクキネンカイカン,〒857-4404　長崎県南松浦郡新上五島町青方郷1549番地6,,32.9832341,129.0700749,,0959-52-2298,,,,休館日以外,8:30,22:00,12/29～1/3,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,14,長崎県,新上五島町,上五島病院,カミゴトウビョウイン,〒857-4404　長崎県南松浦郡新上五島町青方郷１５４９番地１１,,32.98279498,129.0700043,,0959-52-3000,,,,,,,,,,上五島地区,
424111,15,長崎県,新上五島町,十八親和銀行新上五島支店,ジュウハチシンワギンコウシンカミゴトウシテン,〒857-4404　長崎県南松浦郡新上五島町青方郷１１１０番地３９,,32.98217604,129.0658895,,0959-52-2017,,,,,,,,,,上五島地区,
424111,16,長崎県,新上五島町,上五島海洋青少年の家,カミゴトウカイヨウセイショウネンノイエ,〒857-4415　長崎県南松浦郡新上五島町続浜ノ浦郷１７２番地１,,32.96090211,129.0275068,,0959-52-4654,,,,休館日以外,,,月曜日閉館日、12/29～1/3,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,17,長崎県,新上五島町,社会福祉協議会上五島支所,シャカイフクシキョウギカイカミゴトウシショ,〒857-4404　長崎県南松浦郡新上五島町青方郷１３７９番地１,,32.98507696,129.0685644,,0959-52-2593,,,,,,,,,,上五島地区,
424111,18,長崎県,新上五島町,ダイビングハウスナイスばでぃ,ダイビングハウスナイスバディ,〒857-4416　長崎県南松浦郡新上五島町道土井郷３１９,,32.94222222,129.0332789,,0959-52-4147,,,,定休日以外,10:00,18:00,火曜日定休日,,,上五島地区,
424111,19,長崎県,新上五島町,上五島中学校,カミゴトウチュウガッコウ,〒857-4404　長崎県南松浦郡新上五島町青方郷５３８番地２,,32.99241133,129.0662229,,0959-52-4418,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,20,長崎県,新上五島町,青方小学校,アオカタショウガッコウ,〒857-4404　長崎県南松浦郡新上五島町青方郷１４６０番地１,,32.98650362,129.0732915,,0959-52-2004,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,21,長崎県,新上五島町,上郷小学校,カミゴウショウガッコウ,〒857-4402　長崎県南松浦郡新上五島町奈摩郷１０番地１,,33.01939191,129.0686668,,0959-52-8204,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,23,長崎県,新上五島町,飯ノ瀬戸分団詰所,イノセトブンダンツメショ,〒857-4414　長崎県南松浦郡新上五島町飯ノ瀬戸郷182番地2,,32.960532,129.003199,,なし,,,,,,,,,,上五島地区,
424111,24,長崎県,新上五島町,新上五島町温水プール,シンカミゴトウチョウオンスイプール,〒857-4404　長崎県南松浦郡新上五島町青方郷１３７９番地６,,32.98236774,129.0691981,,0959-53-3150,,,,休館日以外,10:00,21:00,毎月29日から末日、12/29～1/4,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,25,長崎県,新上五島町,青方保育所,アオカタホイクショ,〒857-4404　長崎県南松浦郡新上五島町青方郷１３６８番地４,,32.98462454,129.068639,,0959-52-2169,,,,月～土,7:30,18:00,,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,26,長崎県,新上五島町,ごとう農協上五島支店,ゴトウノウキョウカミゴトウシテン,〒857-4404　長崎県南松浦郡新上五島町青方郷1578,,32.98513798,129.0724356,,0959-52-2077,,,,,,,,,,上五島地区,
424111,27,長崎県,新上五島町,奈摩保育所,ナマホイクショ,〒857-4402　長崎県南松浦郡新上五島町奈摩郷９１０番地９,,33.01747362,129.0732883,,0959-52-8026,,,,月～土,7:30,18:00,,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,28,長崎県,新上五島町,浜ノ浦児童館,ハマノウラジドウカン,〒857-4415　長崎県南松浦郡新上五島町続浜ノ浦郷４０６番地１０,,32.96523843,129.0242464,,0959-52-2195,,,,月～金,9:00,18:00,,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,29,長崎県,新上五島町,青方子育て支援センター,アオカタコソダテシエンセンター,〒857-4404　長崎県南松浦郡新上五島町青方郷１２３７番地１,,32.98523416,129.0675955,,0959-52-2890,,,,月～金,9:00,16:30,,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,30,長崎県,新上五島町,青方幼稚園,アオカタヨウチエン,〒857-4404　長崎県南松浦郡新上五島町青方郷１４５８番地２,,32.98623983,129.0725844,,0959-52-3270,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,32,長崎県,新上五島町,上郷体育館,カミゴウタイイクカン,〒857-4402　長崎県南松浦郡新上五島町奈摩郷１６９番地,,33.01563171,129.0720477,,0959-52-8204,,,,休館日以外,8:30,22:00,12/29～1/3,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,33,長崎県,新上五島町,青方サンライズホテル,アオカタサンライズホテル,〒857-4404　長崎県南松浦郡新上五島町青方郷１１１０番地４３,,32.98245587,129.0669212,,0120-525-244,,,,,,,,,,上五島地区,
424111,34,長崎県,新上五島町,道土井へき地保育所,ミチドイヘキチホイクショ,,,,,,,,,,,,,,,,,
424111,35,長崎県,新上五島町,こども発達センター（大曽）,コドモハッタツセンター（オオソ）,〒857-4404　長崎県南松浦郡新上五島町青方郷２０９０番地４６,,32.9871507,129.0485687,,0959-52-2293,,,,月～金,8:30,17:15,,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,36,長崎県,新上五島町,青砂ケ浦教会（夏季以外）,アオサガウラキョウカイ（カキイガイ）,〒857-4402　長崎県南松浦郡新上五島町奈摩郷１２４１,,33.02763863,129.0874137,,0959-52-8011,,,,全曜日,0:00,23:59,海水浴シーズン（7月-8月）は高井旅海水浴場へ移動するため使用不可,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,37,長崎県,新上五島町,船崎海水浴場（夏季）,フナサキカイスイヨクジョ（カキ）,〒857-4405　長崎県南松浦郡新上五島町船崎郷横崎,,32.9916327,129.0460211,,なし,,,,全曜日,9:00,17:00,海水浴シーズン（7月-8月）のみ　※遊泳禁止日を除く,有（小児も使用できるＡＥＤ）,,上五島地区,
424111,38,長崎県,新上五島町,船崎伝承館（夏季以外）,フナサキデンショウカン（カキイガイ）,〒857-4405　長崎県県南松浦郡新上五島町船崎郷４９４,,32.99519211,129.0503984,,0959-42-5005,,,,,,,,,,上五島地区,削除
424111,39,長崎県,新上五島町,新上五島町消防署・北魚目分遣隊,シンカミゴトウチョウショウボウショ・キタウオノメブンケンタイ,〒857-4601　長崎県南松浦郡新上五島町小串郷１５１３番地３,,33.05519553,129.0989715,,0959-55-3119,,,,,,,,,,新魚目地区,
424111,40,長崎県,新上五島町,上五島高校,カミゴトウコウコウ,〒857-4511　長崎県南松浦郡新上五島町浦桑郷３０６,,32.98741756,129.0813772,,0959-54-1155,,,,,,,,,,新魚目地区,
424111,41,長崎県,新上五島町,もとおか歯科医院,モトオカシカイイン,〒857-4511　長崎県南松浦郡新上五島町浦桑郷１３６３,,32.98649236,129.0856147,,0959-54-1808,,,,,,,,,,新魚目地区,
424111,42,長崎県,新上五島町,新魚目総合体育館,シンウオノメソウゴウタイイクカン,〒857-4513　長崎県南松浦郡新上五島町丸尾郷３３５番地３,,33.00351262,129.0924233,,0959-54-1678,,,,休館日以外,8:30,22:00,休12/29～1/3,有（小児も使用できるＡＥＤ）,,新魚目地区,
424111,43,長崎県,新上五島町,魚目中学校,ウオノメチュウガッコウ,〒857-4513　長崎県南松浦郡新上五島町丸尾郷４１７,,33.00351299,129.088842,,0959-54-2141,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,新魚目地区,
424111,44,長崎県,新上五島町,創価学会上五島会館,ソウカガッカイカミゴトウカイカン,〒857-4511　長崎県南松浦郡新上五島町浦桑郷３４７,,32.98607755,129.0816402,,,,,,,,,,,,新魚目地区,
424111,45,長崎県,新上五島町,北魚目小学校,キタウオノメショウガッコウ,〒857-4601　長崎県南松浦郡新上五島町小串郷１６３６,,33.05733646,129.0995977,,0959-55-3141,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,新魚目地区,
424111,46,長崎県,新上五島町,魚目小学校,ウオノメショウガッコウ,〒857-4512　長崎県南松浦郡新上五島町榎津郷４０１,,32.99916225,129.0898836,,0959-54-2121,,,,月～金,8:00,16:30,休（8月中旬6日間、12/29～1/3）,有（小児も使用できるＡＥＤ）,,新魚目地区,
424111,47,長崎県,新上五島町,上五島福祉事務所,カミゴトウフクシジムショ,〒857-4511　長崎県南松浦郡新上五島町浦桑郷３４８番地１,,32.98587648,129.0818311,,0959-54-2131,,,,,,,,,,新魚目地区,
424111,48,長崎県,新上五島町,やすらぎの里,ヤスラギノサト,〒857-4601　長崎県南松浦郡新上五島町小串郷１４４８,,33.05463951,129.097096,,0959-55-2607,,,,月～土,8:30,17:15,,有（小児も使用できるＡＥＤ）,,新魚目地区,
424111,49,長崎県,新上五島町,新魚目診療所,シンウオノメシンリョウショ,〒857-4601　長崎県南松浦郡新上五島町小串郷１４８０番地１,,33.05528829,129.0976915,,0959-55-3161,,,,月～金,8:30,17:15,土日祝（12/29～1/3）,,,新魚目地区,
424111,50,長崎県,新上五島町,榎津診療所,エノキズシンリョウショ,〒857-4512　長崎県南松浦郡新上五島町榎津郷２１６,,32.9966049,129.0916776,,0959-54-1368,,,,月～金,8:30,17:15,土日祝（12/29～1/3）,,,新魚目地区,
424111,51,長崎県,新上五島町,白菊保育園,シラギクホイクエン,〒857-4513　長崎県南松浦郡新上五島町丸尾郷864,,33.00805395,129.0912973,,0959-54-1074,,,,月～土,7:00,18:30,18時以降は延長保育,有（小児も使用できるＡＥＤ）,,新魚目地区,
424111,52,長崎県,新上五島町,新魚目児童館,シンウオノメジドウカン,〒857-4601　長崎県南松浦郡新上五島町小串郷１６９１,,33.05768171,129.1003357,,0959-55-2220,,,,月～金,9:00,18:00,,有（小児も使用できるＡＥＤ）,,新魚目地区,
424111,53,長崎県,新上五島町,ホテルマルゲリータ,ホテルマルゲリータ,〒857-4601　長崎県南松浦郡新上五島町小串郷１０７４,,33.05662013,129.089395,,0959-55-3103,,,,全曜日,0:00,23:59,,有（小児も使用できるＡＥＤ）,,新魚目地区,
424111,54,長崎県,新上五島町,ドラッグストア マツモトキヨシ浦桑店,ドラッグストア マツモトキヨシ,〒857-4511　長崎県南松浦郡新上五島町浦桑郷３-１,,32.98378145,129.0864003,,0959-43-6455,,,,,,,,,,新魚目地区,
424111,55,長崎県,新上五島町,新魚目ふれあいプール,シンウオノメフレイアイプール,〒857-4601　長崎県南松浦郡新上五島町小串郷１２９９番地２,,33.00287681,129.0907883,,,,,,6/15～9/15の休場日以外,10:00,17:00,休10：00～12：00、12：30～14：30、15：00～17：00　各月の第1月曜,無,,新魚目地区,
424111,56,長崎県,新上五島町,グリーンヒルかみごとう,グリーンヒルカミゴトウ,〒857-4511　長崎県南松浦郡新上五島町浦桑郷６４３番地１,,32.98996676,129.0835006,,0959-43-6767,,,,,,,,,,新魚目地区,
424111,57,長崎県,新上五島町,社会福祉協議会新魚目支所,シャカイフクシキョウギカイシンウオノメシショ,〒857-4601　長崎県南松浦郡新上五島町小串郷１４４８,,33.05471,129.09708,,0959-55-2607,,,,月～土,8:30,17:15,,有（小児も使用できるＡＥＤ）,,新魚目地区,
