全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,利用不可能日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
332089,0000000001,岡山県総社市,吉備路アリーナ,,,332089,,岡山県総社市三輪1300,岡山県,総社市,三輪,1300,,34.664619,133.748103,,,1階事務所脇,(0866)93-2100,,,,,,,,,12/29～1/3,08:30,21:00,,,,,,,,,
332089,0000000002,岡山県総社市,岡山県立総社高等学校,,,332089,,岡山県総社市総社3-9-1,岡山県,総社市,総社,3-9-1,,34.676420,133.756241,,,体育館北側,(0866)93-0891,,,,,,,,,土日祝日,08:20,16:50,,,,,,,,,
332089,0000000003,岡山県総社市,岡山県立総社南高等学校,,,332089,,岡山県総社市三輪626-1,岡山県,総社市,三輪,626-1,,34.662883,133.740531,,,南棟1階開放廊下東側,(0866)93-6811,,,,,,,,,土日祝日,08:20,16:50,,,,,,,,,
332089,0000000004,岡山県総社市,清音ふるさとふれあい広場,,,332089,,岡山県総社市清音三因1017-4,岡山県,総社市,清音三因,1017-4,,34.655598,133.754086,,,管理棟受付,(0866)94-3030,,,,,,,,,12/29～1/3,08:30,21:00,,,,,,,,,
332089,0000000005,岡山県総社市,昭和五つ星学園義務教育学校1-5　アクティブ,,,332089,,岡山県総社市美袋207,岡山県,総社市,美袋,207,,34.718591,133.654813,,,1階正面玄関,(0866)99-1027,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000007,岡山県総社市,昭和五つ星学園義務教育学校6-9　フロンティア,,,332089,,岡山県総社市美袋1636,岡山県,総社市,美袋,1636,,34.721479,133.646802,,,1階保健室,(0866)99-1020,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000008,岡山県総社市,総社市昭和公民館,,,332089,,岡山県総社市美袋1915-4,岡山県,総社市,美袋,1915-4,,34.719408,133.654411,,,1階ホール,(0866)99-1103,,,,,,,,,月曜、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000009,岡山県総社市,総社市立総社西中学校,,,332089,,岡山県総社市駅前1-10-1,岡山県,総社市,駅前,1-10-1,,34.675143,133.741186,,,2階職員室前,(0866)92-0317,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:00,18:00,,,,,,,,,
332089,0000000010,岡山県総社市,総社市立総社中央小学校,,,332089,,岡山県総社市門田959,岡山県,総社市,門田,959,,34.679642,133.736456,,,1階職員室,(0866)93-6067,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:20,16:50,,,,,,,,,
332089,0000000011,岡山県総社市,総社市立常盤小学校,,,332089,,岡山県総社市駅南1-13-13,岡山県,総社市,駅南,1-13-13,,34.666860,133.738254,,,1階職員室南東受付窓口棚上,(0866)92-4407,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:10,16:40,,,,,,,,,
