全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
272141,0000100001,大阪府富田林市,富田林市役所,トンダバヤシシヤクショ,,,,富田林市常盤町1-1,大阪府,富田林市,常盤町,1-1,,34.499641,135.597271,,,"1階玄関ホール
3階EVホール",0721-25-1000,,,,,,,,,,,土・日・祝及び年末年始（12月29日～1月3日）は利用不可,有,,,,,,,
272141,0000100002,大阪府富田林市,金剛連絡所,コンゴウレンラクショ,,,,富田林市寺池台一丁目9-15,大阪府,富田林市,寺池台一丁目,9-15,,34.495375,135.566467,,,1階通路エレベータ横,0721-29-1401,,,,,,,,月火水木金,09:00,17:30,土・日・祝・年末年始（12/29～1/3）は利用不可,有,,,,,,,
272141,0000100003,大阪府富田林市,レインボーホール（市民会館）,レインボーホール（シミンカイカン）,,,,富田林市粟ヶ池町2969-5,大阪府,富田林市,粟ヶ池町,2969-5,,34.517847,135.607305,,,施設内,0721-25-1117,,,,,,,,,,,水曜日・年末年始（12月29日～1月3日）は利用不可,無,,,,,,,
272141,0000100004,大阪府富田林市,中央公民館,チュウオウコウミンカン,,,,富田林市本町16-28,大阪府,富田林市,本町,16-28,,34.503217,135.599892,,,１階ロビー,0721-24-3333,,,,,,,,,,,日曜日は9:00～17:00の利用、・休館日(月曜日・国民の祝日・年末年始（12月29日～1月3日）、月曜日が祝日の場合は翌日)は利用不可,無,,,,,,,
272141,0000100005,大阪府富田林市,東公民館,ヒガシコウミンカン,,,,富田林市山中田町一丁目5-50,大阪府,富田林市,山中田町一丁目,5-50,,34.498948,135.609694,,,事務所前,0721-25-1772,,,,,,,,,,,日曜日は9:00～17:00の利用、・休館日(月曜日・国民の祝日・年末年始（12月29日～1月3日）、月曜日が祝日の場合は翌日)は利用不可,無,,,,,,,
272141,0000100006,大阪府富田林市,金剛図書館,コンゴウトショカン,,,,富田林市高辺台二丁目1-2,大阪府,富田林市,高辺台二丁目,1-2,,34.499779,135.574751,,,２階公民館ラウンジ,0721-28-1171,,,,,,,,,,,開館日：火～土・午前9時～午後9時、日・午前9時～午後6時まで、休館日：月（ただし祝日は開館し翌平日休館）、年末年始（12/29～1/3）,無,,,,,,,
272141,0000100007,大阪府富田林市,市民総合体育館,シミンソウゴウタイイクカン,,,,富田林市美山台4-1,大阪府,富田林市,美山台,4-1,,34.500474,135.589386,,,玄関,0721-24-2265,,,,,,,,,,,年末年始（12/29～1/4）は利用不可,無,,,,,,,
272141,0000100008,大阪府富田林市,青少年スポーツホール,セイショウネンスポーツホール,,,,富田林市久野喜台二丁目2-1,大阪府,富田林市,久野喜台二丁目,2-1,,34.496988,135.567524,,,玄関,0721-29-3778,,,,,,,,,,,令和5年2月1日より臨時休館中,,,,,,,,
272141,0000100009,大阪府富田林市,Topic(富田林市きらめき創造館）,トピック（トンダバヤシキラメキソウゾウカン）,,,,富田林市常盤町16番11号,大阪府,富田林市,常盤町,16番11号,,34.500189,135.598462,,,玄関,0721-26-8056,,,,,,,,,,,祝日・年末年始（12月29日～1月3日）は利用不可,無,,,,,,,
272141,0000100010,大阪府富田林市,ＴＯＮＰＡＬ（富田林市多文化共生・人権プラザ）,トンパル（タブンカキョウセイ・ジンケンプラザ）,,,,富田林市若松町一丁目7番1号,大阪府,富田林市,若松町一丁目,7番1号,,34.504627,135.603989,,,プラザ1階　エレベーター前の柱,0721-24-0583,,,,,,,,,,,"祝日・年末年始（12月29日～1月3日）は利用不可
※土・日は午前9時～午後5時30分",有,,,,,,,
272141,0000100011,大阪府富田林市,児童館,ジドウカン,,,,富田林市若松町一丁目7-47,大阪府,富田林市,若松町一丁目,7-47,,34.504002,135.604287,,,事務所(受付)前,0721-25-0666,,,,,,,,,,,日曜・祝日・年末年始(12/29～1/3)は利用不可,有,,,,,,,
272141,0000100012,大阪府富田林市,総合福祉会館,ソウゴウフクシカイカン,,,,富田林市宮甲田町9-9,大阪府,富田林市,宮甲田町,9-9,,34.494894,135.588044,,,１階多目的室横,0721-25-8261,,,,,,,,,09:00,17:15,祝日・年末年始（12月29日～1月3日）は利用不可,有,,,,,,,
272141,0000100013,大阪府富田林市,コミュニティセンターかがりの郷,コミュニティセンターカガリノサト,,,,富田林市南大伴町四丁目4-1,大阪府,富田林市,南大伴町四丁目,4-1,,34.495154,135.617733,,,１階入口付近,0721-20-6070,,,,,,,,,09:00,17:15,祝日・年末年始（12月29日～1月3日）は利用不可,有,,,,,,,
272141,0000100014,大阪府富田林市,富田林市送配水管理センター,トンダバヤシシソウハイスイカンリセンター,,,,富田林市甲田二丁目12-44,大阪府,富田林市,甲田二丁目,12-44,,34.492967,135.595905,,,１階,0721-24-1215,,,,,,,,,,,,,,,,,,,
272141,0000100015,大阪府富田林市,すばるホール,スバルホール,,,,富田林市桜ヶ丘町二丁目8,大阪府,富田林市,桜ヶ丘町二丁目,8,,34.495209,135.586585,,,２階受付カウンター,0721-25-0222,,,,,,,,,,,月曜日は・年末年始（12月29日～1月3日）利用不可,無,,,,,,,
272141,0000100016,大阪府富田林市,重要文化財旧杉山家住宅,ジュウヨウブンカザイキュウスギヤマケジュウタク,,,,富田林市富田林町14-31,大阪府,富田林市,富田林町,14-31,,34.499702,135.601335,,,1階土間,0721-23-6117,,,,,,,,火水木金土日,10:00,17:00,月曜日（祝日の場合の翌平日）、12/29～1/3は利用不可,無,,,,,,,
272141,0000100017,大阪府富田林市,じないまち交流館,ジナイマチコウリュウカン,,,,富田林市富田林町9-29,大阪府,富田林市,富田林町,9-29,,34.501509,135.60204,,,1階,0721-26-0110,,,,,,,,火水木金土日,10:00,17:00,月曜日（祝日の場合の翌平日）、12/29～1/3は利用不可,無,,,,,,,
272141,0000100018,大阪府富田林市,じないまち展望広場,ジナイマチテンボウヒロバ,,,,富田林市富田林町18-51,大阪府,富田林市,富田林町,18-51,,34.499945,135.604144,,,1階,0721-25-1000,,,,,,,,月火水木金土日,10:00,17:00,年末年始（12/29～1/3）は利用不可,無,,,,,,,
272141,0000100019,大阪府富田林市,旧田中家住宅,キュウタナカケジュウタク,,,,富田林市本町7‐2,大阪府,富田林市,本町,7‐2,,34.502091,135.600317,,,受付,0721-25-6771,,,,,,,,火水木金土日,10:00,17:00,月曜日（祝日の場合の翌平日）、12/29～1/3は利用不可,無,,,,,,,
