市区町村コード,No,都道府県名,市区町村名,地区,設置事業所名,住所,経度,緯度
282090,1,兵庫県,豊岡市,豊岡,太陽ケーブルテック株式会社豊岡工場,豊岡市神美台38,134.8654065,35.51316433
282090,2,兵庫県,豊岡市,豊岡,フミオ工業株式会社,豊岡市九日市上町817-14,134.8203264,35.51524031
282090,3,兵庫県,豊岡市,豊岡,生活協同組合コープこうべ,豊岡市加広町7-32,134.8167762,35.55057132
282090,4,兵庫県,豊岡市,豊岡,あだち歯科クリニック,豊岡市大手町8-5（αビル4Ｆ）,134.8148632,35.54607133
282090,5,兵庫県,豊岡市,豊岡,川嶋建設労働安全衛生協力会,豊岡市香住15-1,134.8517501,35.50936093
282090,6,兵庫県,豊岡市,豊岡,JAたじま　本店営業部,豊岡市立野町20-2,134.8255679,35.54330172
282090,7,兵庫県,豊岡市,豊岡,JAたじま　豊岡北支店,豊岡市野田161-1,134.8151527,35.55250428
282090,8,兵庫県,豊岡市,豊岡,JAたじま　豊岡南支店,豊岡市木内215,134.835863,35.52489951
282090,9,兵庫県,豊岡市,豊岡,JAたじま　港支店,豊岡市気比3570-23,134.8361335,35.64066076
282090,10,兵庫県,豊岡市,豊岡,JAたじま　豊岡介護センター,豊岡市土渕133-5,134.8205279,35.50192199
282090,11,兵庫県,豊岡市,豊岡,JAたじま　豊岡市東ﾃﾞｲｻｰﾋﾞｽｾﾝﾀｰ,豊岡市大篠岡962-2,134.8393777,35.52842876
282090,12,兵庫県,豊岡市,豊岡,JAたじま　ﾌｧｰﾏｰｽﾞﾏｰｹｯﾄ・たじまんま,豊岡市八社宮490,134.8340942,35.52437662
282090,13,兵庫県,豊岡市,豊岡,JAたじま　豊岡営農生活センター,豊岡市八社宮490-3,134.8346487,35.52399687
282090,14,兵庫県,豊岡市,豊岡,JAたじま　豊岡ショートステイ　いなほの里,豊岡市大篠岡962-2,134.8388925,35.52842854
282090,15,兵庫県,豊岡市,豊岡,トヨオカ自動車工業株式会社,豊岡市弥栄町1-51,134.8245015,35.53501978
282090,16,兵庫県,豊岡市,豊岡,㈱NTT西日本-兵庫,豊岡市昭和町5-4,134.8192553,35.53077671
282090,17,兵庫県,豊岡市,豊岡,あぼ歯科医院,豊岡市高屋968,134.8107669,35.5449312
282090,18,兵庫県,豊岡市,豊岡,但馬信用金庫　本店,豊岡市中央町17-8,134.8235882,35.54257009
282090,19,兵庫県,豊岡市,豊岡,但馬信用金庫　大開支店,豊岡市千代田町8-25,134.8176459,35.54380595
282090,20,兵庫県,豊岡市,豊岡,但馬信用金庫　豊岡南支店,豊岡市弥栄町1-23,134.8223177,35.53349894
282090,21,兵庫県,豊岡市,豊岡,但馬信用金庫　豊岡北支店,豊岡市船町334-1,134.813782,35.55457377
282090,22,兵庫県,豊岡市,豊岡,但馬信用金庫　豊岡西支店,豊岡市高屋1040-1,134.8103712,35.54329142
282090,23,兵庫県,豊岡市,豊岡,医療法人社団　金下歯科医院,豊岡市戸牧295-5,134.8088271,35.53551826
282090,24,兵庫県,豊岡市,豊岡,中村歯科クリニック,豊岡市小田井町17-10,134.8245784,35.54903651
