source_record_no,名称,住所,緯度,経度
100000,座間市役所,緑ケ丘1-1-1,35.488584,139.407594
100001,サニープレイス座間,緑ケ丘1-2-1,35.488272,139.408214
100002,市民健康センター,緑ケ丘1-1-3,35.490203,139.406959
100004,スカイアリーナ座間,相武台1-47-1,35.496291,139.403157
100005,市公民館,入谷西2-53-34,35.484333,139.393216
100006,北地区文化センター,相模が丘5-30-4,35.509096,139.42465
100007,東地区文化センター,東原3-1-1,35.478479,139.423917
100009,図書館,入谷東1-3-1,35.488569,139.406647
100010,座間小学校,座間2-3133,35.486298,139.391878
100011,栗原小学校,栗原中央6-8-1,35.482978,139.417756
100012,相模野小学校,広野台1-41-1,35.504327,139.419172
100013,相武台東小学校,栗原1302,35.49988,139.417297
100014,ひばりが丘小学校,ひばりが丘4-4-1,35.48404,139.430581
100015,東原小学校,東原2-6-1,35.481402,139.426912
100016,相模が丘小学校,相模が丘3-1-1,35.506559,139.418479
100017,立野台小学校,立野台1-1-3,35.484809,139.409123
100018,入谷小学校,入谷西5-8-1,35.480013,139.396254
100019,旭小学校,ひばりが丘5-43-1,35.487693,139.429457
100020,中原小学校,西栗原2-16-1,35.472876,139.408129
100021,座間中学校,緑ケ丘4-6-10,35.492655,139.407184
100022,西中学校,座間2-1230,35.485492,139.385941
100023,東中学校,ひばりが丘5-57-1,35.485702,139.428642
100024,栗原中学校,栗原中央6-4-1,35.485177,139.417956
100025,相模中学校,相模が丘6-35-1,35.504499,139.430015
100026,南中学校,南栗原3-8-1,35.475986,139.421152
100028,新田宿・四ツ谷コミュニティセンター,四ッ谷1026,35.477743,139.381881
100029,小松原コミュニティセンター,小松原1-45-14,35.497888,139.432861
100030,東原コミュニティセンター,東原4-13-13,35.474967,139.427575
100031,相模が丘コミュニティセンター,相模が丘3-38-1,35.509072,139.422827
100033,ひばりが丘コミュニティセンター,ひばりが丘1-49-1,35.489112,139.432163
100034,栗原コミュニティセンター,栗原中央3-29-17,35.501782,139.417755
100036,座間市消防署東分署,東原2-7-11,35.480086,139.427688
100037,座間市消防署北分署,相模が丘4-2-48,35.504901,139.42066
100039,新田宿グラウンド,新田宿2178,35.47751,139.380323
100040,ひまわり公園テニスコート,入谷東1-6-3,35.49009,139.404893
100041,栗原遊水地テニスコート,栗原1702-3,35.490767,139.412376
100043,鳩川児童館,座間1-1922,35.490204,139.387519
100044,ひばりが丘南児童館,ひばりが丘3-56-1,35.480413,139.434468
100045,相模野児童館,広野台1-46-29,35.503265,139.421385
100046,水道料金お客様センター,緑ケ丘1-3-1,35.488115,139.407673
