source_record_no,名称,住所,緯度,経度
1,南足柄市保健医療福祉センター,南足柄市広町48-1,35.319523,139.098236
7,南足柄市立北足柄小学校,南足柄市内山1051,35.344784,139.074249
8,南足柄市立南足柄小学校,南足柄市関本400,35.322586,139.098892
9,南足柄市立福沢小学校,南足柄市千津島632,35.335155,139.106873
10,南足柄市立岡本小学校,南足柄市塚原1769,35.306202,139.124786
11,南足柄市立岩原小学校,南足柄市岩原310,35.296513,139.129013
12,南足柄市立向田小学校,南足柄市向田555,35.321392,139.112183
13,南足柄市立南足柄中学校,南足柄市関本433,35.321716,139.098541
14,南足柄市立岡本中学校,南足柄市塚原1660,35.304562,139.126694
15,南足柄市立足柄台中学校,南足柄市竹松2000,35.324821,139.107224
16,南足柄市役所,南足柄市関本440,35.320698,139.099579
17,南足柄保育園,南足柄市狩野125-1,35.316296,139.109055
18,南足柄市足柄森林公園 丸太の森,南足柄市広町1544,35.309402,139.073578
19,南足柄市中部公民館,南足柄市生駒330-1,35.31076,139.115753
20,南足柄市立図書館,南足柄市塚原1619-1,35.304749,139.124771
21,南足柄市福沢コミュニティセンター,南足柄市千津島941,35.334599,139.10965
22,南足柄市りんどう会館,南足柄市関本403-2,35.322052,139.100235
23,南足柄市体育センター,南足柄市和田河原1030,35.315975,139.126373
24,南足柄市広町パークゴルフ場,南足柄市広町231,35.324665,139.088196
25,南足柄市運動公園,南足柄市怒田1734,35.343361,139.096664
26,南足柄市大口河川敷パークゴルフ場,南足柄市班目1547-90,35.35033,139.105988
27,南足柄市郷土資料館,南足柄市広町1544,35.310059,139.075562
28,南足柄市文化会館,南足柄市関本415-1,35.321465,139.10022
29,南足柄市消防団第４分団第３部待機宿舎,南足柄市狩野764,35.317204,139.108673
